YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,10.450,0.533,5.790,0.341,-1.000,-1.000,11.044,0.843,-1.000,-1.000,3.290,0.286,-1.000,-1.000,-1.000,300.7
20020702,9.527,0.532,5.300,0.340,-1.000,-1.000,9.911,0.841,-1.000,-1.000,2.812,0.286,-1.000,-1.000,-1.000,321.2
20020703,9.487,0.531,5.276,0.340,-1.000,-1.000,9.858,0.841,-1.000,-1.000,2.791,0.285,-1.000,-1.000,-1.000,321.9
20020704,9.248,0.531,5.147,0.339,-1.000,-1.000,9.562,0.839,-1.000,-1.000,2.671,0.285,-1.000,-1.000,-1.000,327.8
20020705,9.389,0.530,5.218,0.339,-1.000,-1.000,9.729,0.838,-1.000,-1.000,2.741,0.285,-1.000,-1.000,-1.000,323.9
20020706,9.360,0.530,5.200,0.338,-1.000,-1.000,9.688,0.837,-1.000,-1.000,2.726,0.284,-1.000,-1.000,-1.000,324.4
20020707,9.235,0.529,5.130,0.337,-1.000,-1.000,9.531,0.835,-1.000,-1.000,2.663,0.284,-1.000,-1.000,-1.000,327.3
20020708,10.324,0.530,5.700,0.337,-1.000,-1.000,10.852,0.835,-1.000,-1.000,3.218,0.283,-1.000,-1.000,-1.000,301.8
20020709,10.264,0.529,5.664,0.337,-1.000,-1.000,10.772,0.833,-1.000,-1.000,3.186,0.283,-1.000,-1.000,-1.000,302.7
20020710,10.522,0.529,5.795,0.336,-1.000,-1.000,11.079,0.832,-1.000,-1.000,3.321,0.283,-1.000,-1.000,-1.000,297.1
20020711,10.005,0.528,5.519,0.335,-1.000,-1.000,10.443,0.830,-1.000,-1.000,3.049,0.282,-1.000,-1.000,-1.000,307.7
20020712,10.114,0.527,5.571,0.335,-1.000,-1.000,10.566,0.829,-1.000,-1.000,3.104,0.282,-1.000,-1.000,-1.000,304.9
20020713,10.861,0.527,5.957,0.334,-1.000,-1.000,11.466,0.828,-1.000,-1.000,3.499,0.281,-1.000,-1.000,-1.000,289.5
20020714,9.710,0.526,5.349,0.333,-1.000,-1.000,10.060,0.825,-1.000,-1.000,2.895,0.280,-1.000,-1.000,-1.000,313.2
20020715,9.273,0.525,5.114,0.332,-1.000,-1.000,9.523,0.822,-1.000,-1.000,2.676,0.279,-1.000,-1.000,-1.000,323.4
20020716,9.797,0.525,5.383,0.332,-1.000,-1.000,10.148,0.821,-1.000,-1.000,2.937,0.279,-1.000,-1.000,-1.000,310.3
20020717,10.085,0.525,5.527,0.331,-1.000,-1.000,10.488,0.820,-1.000,-1.000,3.084,0.278,-1.000,-1.000,-1.000,303.5
20020718,9.421,0.524,5.175,0.330,-1.000,-1.000,9.677,0.818,-1.000,-1.000,2.747,0.278,-1.000,-1.000,-1.000,318.2
20020719,9.378,0.523,5.146,0.330,-1.000,-1.000,9.615,0.816,-1.000,-1.000,2.724,0.277,-1.000,-1.000,-1.000,318.8
20020720,9.438,0.523,5.170,0.329,-1.000,-1.000,9.678,0.814,-1.000,-1.000,2.753,0.276,-1.000,-1.000,-1.000,316.7
20020721,9.941,0.524,5.426,0.329,-1.000,-1.000,10.274,0.812,-1.000,-1.000,3.006,0.276,-1.000,-1.000,-1.000,304.5
20020722,10.382,0.524,5.647,0.328,-1.000,-1.000,10.793,0.811,-1.000,-1.000,3.234,0.275,-1.000,-1.000,-1.000,294.6
20020723,10.510,0.524,5.707,0.328,-1.000,-1.000,10.936,0.809,-1.000,-1.000,3.301,0.275,-1.000,-1.000,-1.000,291.5
20020724,10.833,0.525,5.866,0.328,-1.000,-1.000,11.311,0.808,-1.000,-1.000,3.471,0.274,-1.000,-1.000,-1.000,284.7
20020725,9.103,0.521,4.963,0.325,-1.000,-1.000,9.227,0.803,-1.000,-1.000,2.585,0.272,-1.000,-1.000,-1.000,321.9
20020726,7.845,0.518,4.305,0.324,-1.000,-1.000,7.715,0.799,-1.000,-1.000,1.998,0.271,-1.000,-1.000,-1.000,358.4
20020727,8.748,0.520,4.765,0.323,-1.000,-1.000,8.782,0.797,-1.000,-1.000,2.413,0.270,-1.000,-1.000,-1.000,329.8
20020728,8.769,0.519,4.768,0.322,-1.000,-1.000,8.797,0.795,-1.000,-1.000,2.422,0.269,-1.000,-1.000,-1.000,328.5
20020729,9.078,0.519,4.920,0.322,-1.000,-1.000,9.154,0.793,-1.000,-1.000,2.570,0.269,-1.000,-1.000,-1.000,319.4
20020730,9.455,0.520,5.106,0.322,-1.000,-1.000,9.591,0.791,-1.000,-1.000,2.754,0.268,-1.000,-1.000,-1.000,309.3
20020731,8.377,0.517,4.544,0.319,-1.000,-1.000,8.302,0.786,-1.000,-1.000,2.238,0.266,-1.000,-1.000,-1.000,337.0
20020801,8.291,0.516,4.492,0.318,-1.000,-1.000,8.189,0.783,-1.000,-1.000,2.197,0.265,-1.000,-1.000,-1.000,338.6
20020802,9.440,0.519,5.073,0.319,-1.000,-1.000,9.537,0.783,-1.000,-1.000,2.745,0.265,-1.000,-1.000,-1.000,307.1
20020803,9.800,0.520,5.248,0.319,-1.000,-1.000,9.950,0.782,-1.000,-1.000,2.924,0.265,-1.000,-1.000,-1.000,298.0
20020804,9.716,0.519,5.195,0.318,-1.000,-1.000,9.836,0.779,-1.000,-1.000,2.881,0.264,-1.000,-1.000,-1.000,299.0
20020805,10.296,0.522,5.481,0.318,-1.000,-1.000,10.506,0.778,-1.000,-1.000,3.177,0.263,-1.000,-1.000,-1.000,285.9
20020806,9.996,0.520,5.319,0.316,-1.000,-1.000,10.139,0.774,-1.000,-1.000,3.022,0.262,-1.000,-1.000,-1.000,291.0
20020807,9.789,0.519,5.204,0.315,-1.000,-1.000,9.881,0.770,-1.000,-1.000,2.916,0.261,-1.000,-1.000,-1.000,294.4
20020808,8.964,0.515,4.776,0.313,-1.000,-1.000,8.902,0.765,-1.000,-1.000,2.511,0.259,-1.000,-1.000,-1.000,312.7
20020809,9.077,0.515,4.824,0.311,-1.000,-1.000,9.022,0.761,-1.000,-1.000,2.565,0.257,-1.000,-1.000,-1.000,308.7
20020810,8.341,0.510,4.444,0.309,-1.000,-1.000,8.151,0.755,-1.000,-1.000,2.219,0.255,-1.000,-1.000,-1.000,327.1
20020811,7.788,0.507,4.156,0.307,-1.000,-1.000,7.497,0.750,-1.000,-1.000,1.971,0.254,-1.000,-1.000,-1.000,342.8
20020812,8.748,0.511,4.630,0.308,-1.000,-1.000,8.600,0.751,-1.000,-1.000,2.408,0.254,-1.000,-1.000,-1.000,313.4
20020813,8.880,0.511,4.687,0.307,-1.000,-1.000,8.742,0.748,-1.000,-1.000,2.471,0.253,-1.000,-1.000,-1.000,308.8
20020814,8.974,0.511,4.724,0.306,-1.000,-1.000,8.837,0.744,-1.000,-1.000,2.516,0.251,-1.000,-1.000,-1.000,305.1
20020815,8.842,0.510,4.648,0.304,-1.000,-1.000,8.671,0.740,-1.000,-1.000,2.454,0.250,-1.000,-1.000,-1.000,307.1
20020816,8.935,0.509,4.685,0.303,-1.000,-1.000,8.765,0.737,-1.000,-1.000,2.498,0.249,-1.000,-1.000,-1.000,303.4
20020817,7.874,0.501,4.147,0.299,-1.000,-1.000,7.533,0.728,-1.000,-1.000,2.011,0.246,-1.000,-1.000,-1.000,331.4
20020818,8.157,0.501,4.278,0.298,-1.000,-1.000,7.846,0.724,-1.000,-1.000,2.138,0.245,-1.000,-1.000,-1.000,321.4
20020819,8.299,0.500,4.339,0.296,-1.000,-1.000,7.997,0.721,-1.000,-1.000,2.203,0.243,-1.000,-1.000,-1.000,315.8
20020820,8.246,0.498,4.303,0.295,-1.000,-1.000,7.925,0.717,-1.000,-1.000,2.179,0.242,-1.000,-1.000,-1.000,315.8
20020821,7.990,0.495,4.167,0.292,-1.000,-1.000,7.620,0.711,-1.000,-1.000,2.065,0.240,-1.000,-1.000,-1.000,321.6
20020822,8.247,0.495,4.284,0.291,-1.000,-1.000,7.902,0.707,-1.000,-1.000,2.181,0.239,-1.000,-1.000,-1.000,312.5
20020823,8.423,0.494,4.361,0.290,-1.000,-1.000,8.089,0.704,-1.000,-1.000,2.263,0.238,-1.000,-1.000,-1.000,306.1
20020824,8.480,0.493,4.378,0.289,-1.000,-1.000,8.140,0.700,-1.000,-1.000,2.289,0.236,-1.000,-1.000,-1.000,303.0
20020825,8.653,0.492,4.453,0.287,-1.000,-1.000,8.323,0.696,-1.000,-1.000,2.371,0.235,-1.000,-1.000,-1.000,296.9
20020826,8.307,0.488,4.273,0.284,-1.000,-1.000,7.920,0.689,-1.000,-1.000,2.212,0.233,-1.000,-1.000,-1.000,304.2
20020827,7.769,0.482,4.001,0.281,-1.000,-1.000,7.303,0.681,-1.000,-1.000,1.973,0.230,-1.000,-1.000,-1.000,317.6
20020828,8.078,0.482,4.141,0.280,-1.000,-1.000,7.637,0.679,-1.000,-1.000,2.111,0.229,-1.000,-1.000,-1.000,306.8
20020829,7.559,0.477,3.879,0.277,-1.000,-1.000,7.046,0.671,-1.000,-1.000,1.885,0.226,-1.000,-1.000,-1.000,320.2
20020830,7.607,0.475,3.893,0.274,-1.000,-1.000,7.089,0.665,-1.000,-1.000,1.907,0.225,-1.000,-1.000,-1.000,316.7
20020831,7.151,0.470,3.663,0.271,-1.000,-1.000,6.571,0.658,-1.000,-1.000,1.715,0.222,-1.000,-1.000,-1.000,329.5
20020901,7.017,0.466,3.589,0.269,-1.000,-1.000,6.413,0.653,-1.000,-1.000,1.661,0.220,-1.000,-1.000,-1.000,332.0
20020902,6.934,0.463,3.539,0.267,-1.000,-1.000,6.311,0.647,-1.000,-1.000,1.628,0.218,-1.000,-1.000,-1.000,332.7
20020903,7.499,0.465,3.801,0.266,-1.000,-1.000,6.926,0.644,-1.000,-1.000,1.867,0.217,-1.000,-1.000,-1.000,311.7
20020904,7.851,0.466,3.959,0.265,-1.000,-1.000,7.302,0.642,-1.000,-1.000,2.022,0.216,-1.000,-1.000,-1.000,299.3
20020905,7.527,0.461,3.794,0.262,-1.000,-1.000,6.935,0.635,-1.000,-1.000,1.883,0.214,-1.000,-1.000,-1.000,306.5
20020906,7.078,0.455,3.570,0.259,-1.000,-1.000,6.432,0.627,-1.000,-1.000,1.695,0.211,-1.000,-1.000,-1.000,318.4
20020907,6.922,0.451,3.487,0.256,-1.000,-1.000,6.252,0.620,-1.000,-1.000,1.633,0.209,-1.000,-1.000,-1.000,321.3
20020908,7.255,0.451,3.635,0.255,-1.000,-1.000,6.606,0.616,-1.000,-1.000,1.774,0.208,-1.000,-1.000,-1.000,307.9
20020909,7.598,0.452,3.787,0.254,-1.000,-1.000,6.969,0.614,-1.000,-1.000,1.924,0.207,-1.000,-1.000,-1.000,295.3
20020910,7.439,0.448,3.702,0.252,-1.000,-1.000,6.786,0.607,-1.000,-1.000,1.858,0.205,-1.000,-1.000,-1.000,297.6
20020911,7.102,0.443,3.533,0.248,-1.000,-1.000,6.410,0.599,-1.000,-1.000,1.718,0.202,-1.000,-1.000,-1.000,305.5
20020912,6.976,0.439,3.464,0.246,-1.000,-1.000,6.265,0.593,-1.000,-1.000,1.668,0.200,-1.000,-1.000,-1.000,307.0
20020913,6.694,0.434,3.323,0.243,-1.000,-1.000,5.953,0.586,-1.000,-1.000,1.556,0.198,-1.000,-1.000,-1.000,313.9
20020914,6.793,0.432,3.360,0.241,-1.000,-1.000,6.051,0.581,-1.000,-1.000,1.599,0.196,-1.000,-1.000,-1.000,307.8
20020915,6.299,0.425,3.119,0.237,-1.000,-1.000,5.512,0.571,-1.000,-1.000,1.404,0.193,-1.000,-1.000,-1.000,323.0
20020916,6.434,0.423,3.173,0.235,-1.000,-1.000,5.650,0.566,-1.000,-1.000,1.460,0.191,-1.000,-1.000,-1.000,314.9
20020917,6.743,0.421,3.308,0.233,-1.000,-1.000,5.972,0.562,-1.000,-1.000,1.588,0.190,-1.000,-1.000,-1.000,301.2
20020918,6.793,0.418,3.321,0.231,-1.000,-1.000,6.017,0.556,-1.000,-1.000,1.612,0.188,-1.000,-1.000,-1.000,296.8
20020919,6.989,0.416,3.402,0.228,-1.000,-1.000,6.216,0.550,-1.000,-1.000,1.697,0.186,-1.000,-1.000,-1.000,287.8
20020920,6.470,0.408,3.152,0.224,-1.000,-1.000,5.658,0.540,-1.000,-1.000,1.489,0.183,-1.000,-1.000,-1.000,301.8
20020921,6.312,0.403,3.071,0.221,-1.000,-1.000,5.485,0.533,-1.000,-1.000,1.430,0.180,-1.000,-1.000,-1.000,304.4
20020922,6.019,0.397,2.927,0.217,-1.000,-1.000,5.170,0.526,-1.000,-1.000,1.320,0.178,-1.000,-1.000,-1.000,312.3
20020923,5.650,0.390,2.750,0.213,-1.000,-1.000,4.778,0.517,-1.000,-1.000,1.184,0.175,-1.000,-1.000,-1.000,324.3
20020924,5.543,0.386,2.693,0.210,-1.000,-1.000,4.661,0.510,-1.000,-1.000,1.148,0.173,-1.000,-1.000,-1.000,325.7
20020925,5.666,0.383,2.740,0.208,-1.000,-1.000,4.784,0.504,-1.000,-1.000,1.197,0.171,-1.000,-1.000,-1.000,316.8
20020926,5.863,0.380,2.821,0.206,-1.000,-1.000,4.984,0.499,-1.000,-1.000,1.275,0.169,-1.000,-1.000,-1.000,305.4
20020927,5.621,0.375,2.703,0.203,-1.000,-1.000,4.728,0.491,-1.000,-1.000,1.188,0.166,-1.000,-1.000,-1.000,311.8
20020928,5.118,0.368,2.468,0.199,-1.000,-1.000,4.205,0.483,-1.000,-1.000,1.010,0.164,-1.000,-1.000,-1.000,331.5
20020929,5.670,0.367,2.708,0.198,-1.000,-1.000,4.767,0.479,-1.000,-1.000,1.214,0.162,-1.000,-1.000,-1.000,302.9
20020930,4.972,0.359,2.387,0.193,-1.000,-1.000,4.048,0.470,-1.000,-1.000,0.966,0.160,-1.000,-1.000,-1.000,331.3
20021001,5.024,0.355,2.402,0.191,-1.000,-1.000,4.097,0.464,-1.000,-1.000,0.988,0.158,-1.000,-1.000,-1.000,324.8
20021002,5.415,0.354,2.569,0.189,-1.000,-1.000,4.492,0.458,-1.000,-1.000,1.131,0.156,-1.000,-1.000,-1.000,303.0
20021003,5.445,0.350,2.574,0.187,-1.000,-1.000,4.517,0.452,-1.000,-1.000,1.146,0.154,-1.000,-1.000,-1.000,298.2
20021004,5.486,0.346,2.584,0.184,-1.000,-1.000,4.555,0.447,-1.000,-1.000,1.166,0.152,-1.000,-1.000,-1.000,292.9
20021005,5.050,0.340,2.383,0.181,-1.000,-1.000,4.109,0.439,-1.000,-1.000,1.012,0.149,-1.000,-1.000,-1.000,308.3
20021006,4.729,0.334,2.233,0.177,-1.000,-1.000,3.783,0.431,-1.000,-1.000,0.904,0.147,-1.000,-1.000,-1.000,320.3
20021007,4.886,0.331,2.295,0.175,-1.000,-1.000,3.938,0.425,-1.000,-1.000,0.962,0.145,-1.000,-1.000,-1.000,308.4
20021008,4.836,0.327,2.266,0.173,-1.000,-1.000,3.884,0.419,-1.000,-1.000,0.949,0.143,-1.000,-1.000,-1.000,306.9
20021009,4.922,0.324,2.296,0.170,-1.000,-1.000,3.967,0.414,-1.000,-1.000,0.982,0.141,-1.000,-1.000,-1.000,298.9
20021010,4.850,0.319,2.257,0.168,-1.000,-1.000,3.892,0.407,-1.000,-1.000,0.961,0.139,-1.000,-1.000,-1.000,298.5
20021011,3.930,0.312,1.849,0.164,-1.000,-1.000,2.978,0.399,-1.000,-1.000,0.663,0.136,-1.000,-1.000,-1.000,347.9
20021012,4.254,0.309,1.983,0.162,-1.000,-1.000,3.296,0.394,-1.000,-1.000,0.768,0.134,-1.000,-1.000,-1.000,322.1
20021013,4.853,0.308,2.236,0.160,-1.000,-1.000,3.885,0.389,-1.000,-1.000,0.974,0.133,-1.000,-1.000,-1.000,286.8
20021014,4.739,0.304,2.179,0.158,-1.000,-1.000,3.770,0.384,-1.000,-1.000,0.938,0.131,-1.000,-1.000,-1.000,288.2
20021015,4.644,0.299,2.131,0.155,-1.000,-1.000,3.674,0.377,-1.000,-1.000,0.910,0.129,-1.000,-1.000,-1.000,288.8
20021016,4.581,0.295,2.097,0.153,-1.000,-1.000,3.610,0.371,-1.000,-1.000,0.892,0.127,-1.000,-1.000,-1.000,287.8
20021017,4.676,0.292,2.131,0.151,-1.000,-1.000,3.699,0.366,-1.000,-1.000,0.929,0.125,-1.000,-1.000,-1.000,279.5
20021018,4.654,0.288,2.114,0.148,-1.000,-1.000,3.675,0.360,-1.000,-1.000,0.925,0.123,-1.000,-1.000,-1.000,276.7
20021019,4.454,0.284,2.022,0.145,-1.000,-1.000,3.479,0.353,-1.000,-1.000,0.861,0.121,-1.000,-1.000,-1.000,282.2
20021020,4.290,0.279,1.946,0.143,-1.000,-1.000,3.318,0.348,-1.000,-1.000,0.810,0.119,-1.000,-1.000,-1.000,286.5
20021021,4.325,0.276,1.954,0.141,-1.000,-1.000,3.349,0.342,-1.000,-1.000,0.825,0.117,-1.000,-1.000,-1.000,280.7
20021022,4.254,0.272,1.918,0.139,-1.000,-1.000,3.279,0.337,-1.000,-1.000,0.805,0.116,-1.000,-1.000,-1.000,280.3
20021023,4.259,0.268,1.913,0.137,-1.000,-1.000,3.282,0.332,-1.000,-1.000,0.811,0.114,-1.000,-1.000,-1.000,276.1
20021024,3.993,0.264,1.795,0.134,-1.000,-1.000,3.026,0.325,-1.000,-1.000,0.727,0.112,-1.000,-1.000,-1.000,286.1
20021025,3.790,0.260,1.704,0.132,-1.000,-1.000,2.832,0.320,-1.000,-1.000,0.666,0.110,-1.000,-1.000,-1.000,293.8
20021026,3.891,0.257,1.741,0.130,-1.000,-1.000,2.927,0.315,-1.000,-1.000,0.702,0.108,-1.000,-1.000,-1.000,283.7
20021027,3.890,0.253,1.734,0.128,-1.000,-1.000,2.924,0.310,-1.000,-1.000,0.705,0.107,-1.000,-1.000,-1.000,279.6
20021028,4.044,0.250,1.793,0.126,-1.000,-1.000,3.069,0.306,-1.000,-1.000,0.759,0.105,-1.000,-1.000,-1.000,267.3
20021029,3.984,0.246,1.762,0.123,-1.000,-1.000,3.011,0.300,-1.000,-1.000,0.743,0.103,-1.000,-1.000,-1.000,266.5
20021030,3.762,0.243,1.664,0.121,-1.000,-1.000,2.801,0.295,-1.000,-1.000,0.675,0.102,-1.000,-1.000,-1.000,274.7
20021031,3.383,0.238,1.503,0.119,-1.000,-1.000,2.447,0.290,-1.000,-1.000,0.562,0.100,-1.000,-1.000,-1.000,294.5
20021101,3.086,0.235,1.375,0.117,-1.000,-1.000,2.171,0.285,-1.000,-1.000,0.479,0.098,-1.000,-1.000,-1.000,312.7
20021102,3.060,0.231,1.360,0.115,-1.000,-1.000,2.148,0.281,-1.000,-1.000,0.474,0.097,-1.000,-1.000,-1.000,310.2
20021103,3.339,0.229,1.470,0.113,-1.000,-1.000,2.406,0.276,-1.000,-1.000,0.558,0.095,-1.000,-1.000,-1.000,284.7
20021104,3.000,0.225,1.326,0.111,-1.000,-1.000,2.094,0.271,-1.000,-1.000,0.463,0.094,-1.000,-1.000,-1.000,305.9
20021105,2.845,0.222,1.259,0.110,-1.000,-1.000,1.953,0.267,-1.000,-1.000,0.423,0.092,-1.000,-1.000,-1.000,314.9
20021106,2.509,0.218,1.118,0.108,-1.000,-1.000,1.647,0.262,-1.000,-1.000,0.337,0.091,-1.000,-1.000,-1.000,345.4
20021107,2.807,0.216,1.235,0.106,-1.000,-1.000,1.920,0.259,-1.000,-1.000,0.418,0.090,-1.000,-1.000,-1.000,309.1
20021108,2.507,0.213,1.110,0.105,-1.000,-1.000,1.648,0.255,-1.000,-1.000,0.341,0.088,-1.000,-1.000,-1.000,335.2
20021109,2.671,0.210,1.172,0.103,-1.000,-1.000,1.798,0.250,-1.000,-1.000,0.386,0.087,-1.000,-1.000,-1.000,312.8
20021110,3.167,0.208,1.368,0.101,-1.000,-1.000,2.247,0.246,-1.000,-1.000,0.527,0.085,-1.000,-1.000,-1.000,268.0
20021111,3.168,0.205,1.365,0.100,-1.000,-1.000,2.249,0.243,-1.000,-1.000,0.531,0.084,-1.000,-1.000,-1.000,264.1
20021112,2.894,0.202,1.251,0.098,-1.000,-1.000,2.002,0.239,-1.000,-1.000,0.454,0.083,-1.000,-1.000,-1.000,280.1
20021113,2.804,0.199,1.211,0.097,-1.000,-1.000,1.922,0.236,-1.000,-1.000,0.431,0.082,-1.000,-1.000,-1.000,283.3
20021114,2.530,0.197,1.098,0.096,-1.000,-1.000,1.678,0.232,-1.000,-1.000,0.360,0.081,-1.000,-1.000,-1.000,304.3
20021115,2.576,0.194,1.113,0.094,-1.000,-1.000,1.720,0.228,-1.000,-1.000,0.374,0.079,-1.000,-1.000,-1.000,295.5
20021116,2.513,0.192,1.085,0.093,-1.000,-1.000,1.664,0.225,-1.000,-1.000,0.360,0.078,-1.000,-1.000,-1.000,297.6
20021117,2.524,0.190,1.086,0.091,-1.000,-1.000,1.675,0.222,-1.000,-1.000,0.364,0.077,-1.000,-1.000,-1.000,292.6
20021118,2.243,0.187,0.972,0.090,-1.000,-1.000,1.428,0.219,-1.000,-1.000,0.295,0.076,-1.000,-1.000,-1.000,319.3
