Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TO3,ALLSKY_KT
1981-01-01,,,,,,381.99,
1981-01-02,,,,,,299.07,
1981-01-03,,,,,,322.86,
1981-01-04,,,,,,366.75,
1981-01-05,,,,,,359.81,
1981-01-06,,,,,,358.86,
1981-01-07,,,,,,349.37,
1981-01-08,,,,,,291.92,
1981-01-09,,,,,,296.6,
1981-01-10,,,,,,362.2,
1981-01-11,,,,,,293.0,
1981-01-12,,,,,,337.64,
1981-01-13,,,,,,359.08,
1981-01-14,,,,,,304.59,
1981-01-15,,,,,,365.27,
1981-01-16,,,,,,361.78,
1981-01-17,,,,,,371.04,
1981-01-18,,,,,,364.84,
1981-01-19,,,,,,390.72,
1981-01-20,,,,,,394.45,
1981-01-21,,,,,,319.73,
1981-01-22,,,,,,304.79,
1981-01-23,,,,,,315.45,
1981-01-24,,,,,,323.03,
1981-01-25,,,,,,379.68,
1981-01-26,,,,,,342.85,
1981-01-27,,,,,,295.32,
1981-01-28,,,,,,278.89,
1981-01-29,,,,,,278.03,
1981-01-30,,,,,,282.61,
1981-01-31,,,,,,290.34,
1981-02-01,,,,,,271.73,
1981-02-02,,,,,,266.88,
1981-02-03,,,,,,315.5,
1981-02-04,,,,,,375.7,
1981-02-05,,,,,,343.09,
1981-02-06,,,,,,282.82,
1981-02-07,,,,,,318.32,
1981-02-08,,,,,,302.34,
1981-02-09,,,,,,330.56,
1981-02-10,,,,,,390.1,
1981-02-11,,,,,,460.75,
1981-02-12,,,,,,412.91,
1981-02-13,,,,,,394.16,
1981-02-14,,,,,,403.58,
1981-02-15,,,,,,397.02,
1981-02-16,,,,,,402.76,
1981-02-17,,,,,,413.42,
1981-02-18,,,,,,417.48,
1981-02-19,,,,,,421.59,
1981-02-20,,,,,,458.11,
1981-02-21,,,,,,444.02,
1981-02-22,,,,,,405.9,
1981-02-23,,,,,,415.63,
1981-02-24,,,,,,380.66,
1981-02-25,,,,,,378.93,
1981-02-26,,,,,,365.66,
1981-02-27,,,,,,371.98,
1981-02-28,,,,,,349.33,
1981-03-01,,,,,,332.47,
1981-03-02,,,,,,337.67,
1981-03-03,,,,,,368.16,
1981-03-04,,,,,,361.5,
1981-03-05,,,,,,408.53,
1981-03-06,,,,,,403.17,
1981-03-07,,,,,,382.61,
1981-03-08,,,,,,362.47,
1981-03-09,,,,,,381.87,
1981-03-10,,,,,,384.33,
1981-03-11,,,,,,346.87,
1981-03-12,,,,,,356.65,
1981-03-13,,,,,,354.3,
1981-03-14,,,,,,370.34,
1981-03-15,,,,,,386.41,
1981-03-16,,,,,,418.59,
1981-03-17,,,,,,467.82,
1981-03-18,,,,,,466.26,
1981-03-19,,,,,,464.01,
1981-03-20,,,,,,441.24,
1981-03-21,,,,,,406.28,
1981-03-22,,,,,,389.16,
1981-03-23,,,,,,411.79,
1981-03-24,,,,,,383.51,
1981-03-25,,,,,,358.45,
1981-03-26,,,,,,364.76,
1981-03-27,,,,,,373.62,
1981-03-28,,,,,,335.66,
1981-03-29,,,,,,340.63,
1981-03-30,,,,,,356.97,
1981-03-31,,,,,,361.68,
1981-04-01,,,,,,340.43,
1981-04-02,,,,,,338.8,
1981-04-03,,,,,,367.33,
1981-04-04,,,,,,407.42,
1981-04-05,,,,,,395.9,
1981-04-06,,,,,,348.73,
1981-04-07,,,,,,330.55,
1981-04-08,,,,,,357.51,
1981-04-09,,,,,,370.85,
1981-04-10,,,,,,316.09,
1981-04-11,,,,,,312.89,
1981-04-12,,,,,,338.34,
1981-04-13,,,,,,358.38,
