Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TO3,ALLSKY_KT
1981-01-01,,,,,,327.67,
1981-01-02,,,,,,302.13,
1981-01-03,,,,,,323.16,
1981-01-04,,,,,,336.32,
1981-01-05,,,,,,333.63,
1981-01-06,,,,,,347.2,
1981-01-07,,,,,,308.4,
1981-01-08,,,,,,278.34,
1981-01-09,,,,,,331.03,
1981-01-10,,,,,,328.85,
1981-01-11,,,,,,272.24,
1981-01-12,,,,,,352.5,
1981-01-13,,,,,,323.1,
1981-01-14,,,,,,317.29,
1981-01-15,,,,,,367.65,
1981-01-16,,,,,,360.9,
1981-01-17,,,,,,348.7,
1981-01-18,,,,,,369.19,
1981-01-19,,,,,,368.29,
1981-01-20,,,,,,376.28,
1981-01-21,,,,,,311.86,
1981-01-22,,,,,,310.49,
1981-01-23,,,,,,298.32,
1981-01-24,,,,,,325.75,
1981-01-25,,,,,,356.49,
1981-01-26,,,,,,301.62,
1981-01-27,,,,,,256.8,
1981-01-28,,,,,,254.85,
1981-01-29,,,,,,268.51,
1981-01-30,,,,,,288.6,
1981-01-31,,,,,,270.18,
1981-02-01,,,,,,260.64,
1981-02-02,,,,,,272.47,
1981-02-03,,,,,,329.7,
1981-02-04,,,,,,339.04,
1981-02-05,,,,,,332.93,
1981-02-06,,,,,,295.09,
1981-02-07,,,,,,349.58,
1981-02-08,,,,,,362.7,
1981-02-09,,,,,,392.45,
1981-02-10,,,,,,452.92,
1981-02-11,,,,,,488.63,
1981-02-12,,,,,,417.72,
1981-02-13,,,,,,416.13,
1981-02-14,,,,,,431.53,
1981-02-15,,,,,,375.78,
1981-02-16,,,,,,395.88,
1981-02-17,,,,,,387.01,
1981-02-18,,,,,,379.72,
1981-02-19,,,,,,403.29,
1981-02-20,,,,,,399.95,
1981-02-21,,,,,,389.29,
1981-02-22,,,,,,386.94,
1981-02-23,,,,,,419.6,
1981-02-24,,,,,,428.64,
1981-02-25,,,,,,348.03,
1981-02-26,,,,,,325.18,
1981-02-27,,,,,,356.57,
1981-02-28,,,,,,329.25,
1981-03-01,,,,,,322.36,
1981-03-02,,,,,,354.04,
1981-03-03,,,,,,359.25,
1981-03-04,,,,,,395.45,
1981-03-05,,,,,,418.69,
1981-03-06,,,,,,431.24,
1981-03-07,,,,,,418.98,
1981-03-08,,,,,,387.49,
1981-03-09,,,,,,438.72,
1981-03-10,,,,,,424.76,
1981-03-11,,,,,,381.51,
1981-03-12,,,,,,365.62,
1981-03-13,,,,,,384.91,
1981-03-14,,,,,,402.56,
1981-03-15,,,,,,403.03,
1981-03-16,,,,,,412.02,
1981-03-17,,,,,,452.65,
1981-03-18,,,,,,459.62,
1981-03-19,,,,,,455.42,
1981-03-20,,,,,,439.68,
1981-03-21,,,,,,443.42,
1981-03-22,,,,,,438.53,
1981-03-23,,,,,,462.39,
1981-03-24,,,,,,414.8,
1981-03-25,,,,,,381.81,
1981-03-26,,,,,,382.77,
1981-03-27,,,,,,399.41,
1981-03-28,,,,,,369.69,
1981-03-29,,,,,,351.8,
1981-03-30,,,,,,367.52,
1981-03-31,,,,,,384.61,
1981-04-01,,,,,,361.78,
1981-04-02,,,,,,358.83,
1981-04-03,,,,,,399.86,
1981-04-04,,,,,,383.77,
