"Notes","Year","Year Code",Count,Population,Age-Adjusted Rate
,"1999","1999",41145,275461348,15.1
,"2000","2000",44509,278558214,16.1
,"2001","2001",48019,282115961,17.1
,"2002","2002",49841,284766512,17.4
,"2003","2003",50370,290107933,17.2
,"2004","2004",54192,292805298,18.2
,"2005","2005",58835,295312662,19.5
,"2006","2006",59213,298379912,19.3
,"2007","2007",61724,301231207,19.7
,"2008","2008",63821,304093966,20.0
,"2009","2009",66209,306771529,20.4
,"2010","2010",66459,309327143,20.1
,"2011","2011",69657,311583481,20.7
,"2012","2012",71180,313877662,20.7
,"2013","2013",74849,316059947,21.4
,"2014","2014",79449,318386329,22.3
,"2015","2015",83268,320738994,22.9
,"2016","2016",85150,323071755,23.0
,"2017","2017",87886,325122128,23.3
,"2018","2018",87023,326838199,22.6
,"2019","2019",91591,328329953,23.4
,"2020","2020",77230,319590911,20.0
"Total",,,1471620,6722531044,20.3
