iter	RMSE
0	0.688786952
1	0.6262374947
2	0.570746567
3	0.5207741494
4	0.4753254822
5	0.4342831624
6	0.3957117772
7	0.3614901109
8	0.3306547367
9	0.3027481978
10	0.2781103923
11	0.2553561727
12	0.2354121457
13	0.2169528507
14	0.2006242817
15	0.186349804
16	0.1737267482
17	0.1625670868
18	0.1522959251
19	0.1433107134
20	0.1355651216
21	0.128560492
22	0.1227699193
23	0.1177329943
24	0.1127371604
25	0.1086700654
26	0.1050574198
27	0.1018550977
28	0.09875639726
29	0.0964116227
30	0.0940298903
31	0.09230714006
32	0.09050985397
33	0.08904201821
34	0.08762228206
35	0.0866213089
36	0.08561396329
37	0.0845848677
38	0.08390622436
39	0.0832505652
40	0.08272595046
41	0.08209347519
42	0.08146335336
43	0.08103776424
44	0.08050692927
45	0.08012893319
46	0.07966083458
47	0.07925965891
48	0.07899575536
49	0.07869548065
50	0.07834431377
51	0.07800899048
52	0.07766140924
53	0.0774084468
54	0.07716294709
55	0.07689804537
56	0.07673452994
57	0.07654966908
58	0.0763073354
59	0.07603355657
60	0.07584045454
61	0.07559234786
62	0.07534820636
63	0.07509946546
64	0.0749077155
65	0.07467820753
66	0.07452684709
67	0.07437402925
68	0.07417348913
69	0.0739921692
70	0.07387038928
71	0.07374602227
72	0.0735115666
73	0.07334643287
74	0.07316869568
75	0.07302621176
76	0.0728535948
77	0.072687399
78	0.0725426964
79	0.07239049753
80	0.07221477174
81	0.07208961674
82	0.07191575721
83	0.07180675107
84	0.07166633617
85	0.07149599241
86	0.07133956619
87	0.07111454818
88	0.07096074691
89	0.07082158623
90	0.07065124621
91	0.07050408573
92	0.07034479878
93	0.07021682065
94	0.07006862193
95	0.06995576834
96	0.06977808191
97	0.06964296545
98	0.06950875811
99	0.06935568375
