iter	Passed	Remaining
0	159	15795
1	161	7934
2	164	5316
3	166	4007
4	169	3222
5	172	2699
6	174	2324
7	177	2038
8	179	1818
9	182	1642
10	185	1498
11	188	1378
12	190	1275
13	193	1185
14	195	1108
15	198	1041
16	201	982
17	203	928
18	206	879
19	208	835
20	211	795
21	213	758
22	217	726
23	219	695
24	222	667
25	225	641
26	228	616
27	230	593
28	233	572
29	236	551
30	239	532
31	242	515
32	245	497
33	248	481
34	250	465
35	253	450
36	255	435
37	258	422
38	261	408
39	263	395
40	266	383
41	269	371
42	271	359
43	273	348
44	276	338
45	279	328
46	282	318
47	284	308
48	287	298
49	289	289
50	292	280
51	295	272
52	297	264
53	300	256
54	303	247
55	305	240
56	308	232
57	310	225
58	313	217
59	316	210
60	318	203
61	321	197
62	323	190
63	326	183
64	329	177
65	331	170
66	334	164
67	337	158
68	339	152
69	342	146
70	345	141
71	347	135
72	350	129
73	352	124
74	355	118
75	357	113
76	360	107
77	363	102
78	366	97
79	368	92
80	371	87
81	373	82
82	376	77
83	379	72
84	382	67
85	384	62
86	387	57
87	390	53
88	393	48
89	395	43
90	399	39
91	402	35
92	405	30
93	408	26
94	411	21
95	413	17
96	416	12
97	418	8
98	421	4
99	424	0
