REGISTRY,SEX,AGE_GROUP,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85,P_unk
101200399,1,16,198107,171680,201529,229354,222985,186424,143895,115437,102035,90152,72629,58502,35295,31902,26195,38618,0,0,0
101200399,2,16,187954,164705,192936,220543,216865,179204,143562,118822,106187,94310,73365,55235,35816,32706,27294,37759,0,0,0
101200799,1,16,121146,111843,138024,177363,213520,211122,168230,136163,113830,74073,76882,69633,44755,36821,27765,47873,0,0,2277
101200799,2,16,115056,106539,131867,169364,202499,193610,160415,134393,115243,76392,77989,70152,50311,45914,38939,71231,0,0,3831
120400199,1,16,140801,114913,106897,95540,108835,99107,94564,79322,63880,49858,32790,25362,15230,13334,6163,6834,0,0,0
120400199,2,16,135664,120830,129693,110212,112347,117817,112575,84930,66404,50117,37565,32459,19006,17528,9075,12437,0,0,0
125009099,1,18,127023,141220,146429,135360,109827,95955,95108,101928,114362,124752,118442,97507,78862,56174,39078,27363,15257,10303,0
125009099,2,18,123793,134124,138635,129934,110751,111087,114516,121123,127397,135305,124080,103486,84957,61464,46570,38392,25020,25178,0
140400199,1,16,279114,272600,264655,233357,230324,191992,160853,126347,98318,80031,53108,40872,28792,20510,14654,22043,0,0,0
140400199,2,16,276237,267578,265319,237653,248169,198277,163320,116467,88854,72683,47953,39984,28059,21315,15336,29388,0,0,0
140400299,1,16,931817,736907,609959,552200,926389,1040536,868193,635589,456484,333416,215463,136371,79601,42817,25634,24760,0,0,0
140400299,2,16,922210,747831,641548,698122,1166014,1063630,769085,514730,336070,228158,142897,91120,57514,34255,23756,33232,0,0,0
148000099,1,18,173858,206761,239774,244658,249333,222422,233463,245061,212969,226384,233569,201985,167863,117402,71795,48527,29558,15739,0
148000099,2,18,170839,202642,235030,241710,246135,220217,231349,241403,209749,224705,235058,206635,176706,129622,83198,59588,38725,34402,0
150400199,1,16,1010720,873717,826665,809583,908210,899980,888097,797142,760843,665772,647569,546700,436569,222434,159069,217513,0,0,0
150400199,2,16,964177,837096,791197,801676,934467,919594,905893,835700,783585,705155,689467,548888,417293,232894,201367,289298,0,0,0
169000099,1,16,19654,15934,14575,13633,15394,17867,20863,19102,18896,17480,16456,15457,10598,7138,4477,4947,0,0,0
