Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,12.61,8.93,10.77,13.91,2.77,14.09,11.32,78.21,0.01,4.82,291.1,5.7,290.9,6.62,291.5,,,,,,,,330.99
1981-01-02,13.0,8.09,10.54,13.74,1.26,13.53,12.27,72.35,0.17,2.83,317.6,3.27,318.1,3.73,316.4,,,,,,,,293.24
1981-01-03,12.63,9.36,11.0,13.47,2.31,13.92,11.61,80.56,0.53,3.71,260.5,4.36,260.4,4.89,261.0,,,,,,,,285.6
1981-01-04,13.56,10.78,12.17,13.78,2.74,14.8,12.06,83.31,0.22,6.44,264.6,7.83,264.3,9.3,264.8,,,,,,,,296.27
1981-01-05,12.99,10.01,11.5,13.62,2.08,14.05,11.97,82.49,0.78,4.98,303.4,5.96,301.0,6.96,298.8,,,,,,,,294.81
1981-01-06,12.49,6.87,9.68,13.13,2.76,14.33,11.57,68.92,0.0,3.26,298.4,3.8,296.7,4.25,295.9,,,,,,,,314.23
1981-01-07,12.32,8.71,10.52,13.22,2.34,13.51,11.17,78.77,1.21,5.5,315.3,6.61,314.3,7.73,314.0,,,,,,,,327.91
1981-01-08,10.48,4.44,7.46,12.64,1.31,11.12,9.81,66.28,1.49,6.85,18.0,8.24,17.9,9.67,17.7,,,,,,,,355.21
1981-01-09,10.34,4.14,7.24,12.56,2.58,11.6,9.02,65.52,0.46,4.4,8.7,5.14,8.7,5.92,8.7,,,,,,,,330.66
1981-01-10,11.42,5.15,8.28,12.61,3.67,13.18,9.51,65.62,0.09,3.47,239.5,4.02,238.8,4.46,238.8,,,,,,,,308.28
1981-01-11,11.65,7.75,9.7,12.99,4.16,14.31,10.15,77.39,2.32,6.55,214.2,7.91,213.8,9.29,214.3,,,,,,,,331.79
1981-01-12,9.72,4.29,7.0,12.29,1.07,10.12,9.05,69.36,2.38,4.65,244.1,5.43,243.6,6.22,243.1,,,,,,,,362.49
1981-01-13,9.43,5.87,7.65,12.36,1.25,10.13,8.88,78.62,14.75,7.83,270.2,9.46,269.6,11.0,269.9,,,,,,,,388.5
1981-01-14,10.17,4.65,7.41,12.66,1.62,10.94,9.32,68.8,3.74,6.82,332.7,8.14,332.6,9.49,331.9,,,,,,,,344.61
1981-01-15,12.82,8.59,10.7,13.34,2.92,13.98,11.06,75.49,0.32,10.77,267.3,13.48,267.1,16.17,268.0,,,,,,,,335.0
1981-01-16,13.8,11.7,12.75,13.71,1.4,14.35,12.95,87.23,0.14,7.61,275.7,9.41,275.5,11.27,276.1,,,,,,,,315.09
1981-01-17,13.49,11.47,12.48,13.56,2.5,14.86,12.36,87.8,0.28,5.67,264.1,6.9,263.9,8.3,264.2,,,,,,,,302.17
1981-01-18,12.92,9.22,11.07,13.14,1.58,13.75,12.17,78.69,0.01,4.85,294.4,5.86,293.7,6.85,293.3,,,,,,,,333.43
1981-01-19,12.83,9.46,11.14,12.93,2.13,14.16,12.03,80.27,0.1,3.86,272.4,4.58,271.7,5.16,271.7,,,,,,,,354.42
1981-01-20,13.41,11.15,12.28,13.38,2.79,14.89,12.1,86.66,0.18,7.99,268.4,9.91,268.2,11.84,269.0,,,,,,,,357.12
1981-01-21,12.34,6.42,9.38,13.04,3.02,14.44,11.42,67.17,1.3,5.52,7.2,6.6,6.9,7.72,6.8,,,,,,,,356.27
1981-01-22,11.86,8.16,10.01,12.86,0.84,12.27,11.43,78.16,3.11,4.06,357.5,4.76,357.6,5.49,358.2,,,,,,,,338.0
1981-01-23,11.94,6.03,8.98,12.56,1.62,12.94,11.32,67.13,0.21,4.16,26.5,4.91,26.3,5.59,26.3,,,,,,,,354.57
1981-01-24,11.36,5.83,8.59,12.61,1.46,12.09,10.63,68.73,0.01,2.29,8.8,2.64,8.9,2.95,9.4,,,,,,,,326.41
1981-01-25,11.74,5.29,8.52,12.44,4.11,13.78,9.67,64.92,0.0,2.57,129.3,3.0,131.3,3.36,133.1,,,,,,,,317.41
1981-01-26,12.06,7.02,9.55,12.53,4.03,14.16,10.13,71.59,0.0,2.05,182.2,2.41,184.6,2.69,187.4,,,,,,,,308.12
1981-01-27,11.95,7.83,9.89,12.54,2.16,13.24,11.08,75.79,0.01,2.01,314.7,2.25,313.6,2.43,313.4,,,,,,,,301.8
1981-01-28,12.17,7.08,9.62,12.92,2.02,13.16,11.14,71.09,0.06,2.09,338.1,2.39,337.6,2.65,338.0,,,,,,,,323.15
1981-01-29,11.31,6.32,8.82,12.62,2.26,12.23,9.97,71.53,0.07,3.23,57.1,3.73,56.5,4.12,56.1,,,,,,,,335.37
1981-01-30,10.45,4.42,7.44,12.11,1.95,11.57,9.62,66.53,0.0,3.4,68.3,3.89,68.6,4.26,68.0,,,,,,,,347.25
1981-01-31,11.05,5.7,8.37,12.48,1.9,12.01,10.11,69.67,0.04,2.32,31.6,2.63,31.5,2.9,32.0,,,,,,,,370.87
1981-02-01,11.38,5.21,8.3,12.46,1.27,12.19,10.92,65.75,0.01,1.42,8.7,1.58,9.2,1.67,10.9,,,,,,,,371.23
1981-02-02,11.29,5.65,8.47,12.37,1.64,12.11,10.47,68.17,0.03,1.41,34.2,1.56,34.6,1.7,35.6,,,,,,,,359.3
1981-02-03,11.11,6.63,8.87,12.29,1.77,11.99,10.22,73.96,0.06,4.07,256.1,4.78,255.8,5.35,255.8,,,,,,,,339.28
1981-02-04,12.61,8.59,10.6,12.9,5.0,15.09,10.09,77.48,1.4,8.5,246.5,10.49,246.3,12.67,247.0,,,,,,,,311.35
1981-02-05,12.95,8.17,10.56,13.15,1.92,14.19,12.27,72.91,2.28,7.63,307.8,9.37,307.6,11.27,307.7,,,,,,,,369.04
1981-02-06,12.88,9.56,11.22,13.13,1.9,14.04,12.14,80.3,0.33,3.36,285.2,3.96,285.1,4.51,285.4,,,,,,,,315.41
1981-02-07,12.5,8.86,10.68,13.06,1.95,13.73,11.78,78.53,0.07,2.77,91.1,3.27,91.8,3.71,92.3,,,,,,,,299.42
1981-02-08,12.92,9.43,11.18,13.11,4.56,15.18,10.62,79.68,0.01,3.47,101.2,4.13,102.6,4.78,105.0,,,,,,,,318.24
1981-02-09,13.28,9.79,11.53,13.3,3.56,15.22,11.66,79.8,0.0,3.2,221.8,3.86,220.6,4.52,219.3,,,,,,,,313.64
1981-02-10,14.19,10.7,12.44,13.66,3.66,16.06,12.4,79.85,2.23,2.29,254.2,2.97,248.2,4.15,238.0,,,,,,,,314.05
1981-02-11,12.97,9.01,10.99,13.37,2.09,14.13,12.04,77.09,3.18,3.15,268.5,3.7,268.4,4.17,268.3,,,,,,,,324.15
1981-02-12,11.78,9.72,10.75,13.09,2.33,13.35,11.02,87.13,6.58,5.71,70.2,6.79,70.4,7.71,71.6,,,,,,,,328.69
1981-02-13,12.85,10.33,11.59,13.3,1.84,13.65,11.81,84.64,9.78,4.9,69.8,5.88,71.9,6.87,78.4,,,,,,,,345.51
1981-02-14,12.28,8.82,10.55,13.0,2.53,13.61,11.08,79.3,1.21,4.14,48.2,4.88,48.3,5.47,49.0,,,,,,,,349.21
1981-02-15,13.04,9.21,11.13,13.11,4.54,15.38,10.84,77.68,0.43,4.71,100.2,5.7,102.0,6.83,105.2,,,,,,,,370.29
1981-02-16,13.18,10.62,11.9,13.51,4.29,15.62,11.33,84.71,23.8,4.42,103.2,5.35,103.9,6.38,106.0,,,,,,,,383.19
1981-02-17,12.27,9.84,11.06,13.2,1.43,12.8,11.37,84.99,8.17,5.73,5.6,6.87,5.8,7.91,6.5,,,,,,,,396.16
1981-02-18,11.41,7.48,9.44,12.72,2.17,12.37,10.2,76.8,2.7,4.5,276.8,5.33,276.4,6.2,276.2,,,,,,,,357.4
1981-02-19,12.52,9.34,10.93,13.03,3.41,14.4,10.99,81.29,17.04,6.55,251.4,7.95,251.0,9.47,251.2,,,,,,,,358.9
1981-02-20,10.29,6.37,8.33,12.68,2.56,11.69,9.13,76.69,5.82,4.64,308.6,5.39,307.7,6.13,305.2,,,,,,,,389.19
1981-02-21,9.14,4.05,6.6,12.2,1.16,9.8,8.64,70.56,3.85,5.47,326.4,6.43,326.0,7.44,324.9,,,,,,,,400.17
1981-02-22,11.49,7.06,9.27,12.68,3.53,13.17,9.64,74.26,0.46,6.06,266.2,7.31,266.0,8.52,266.6,,,,,,,,377.15
1981-02-23,12.91,7.07,9.98,13.03,1.6,13.64,12.04,68.4,1.75,3.61,294.1,4.28,292.7,4.97,290.1,,,,,,,,358.73
1981-02-24,13.09,8.82,10.96,13.04,3.42,14.95,11.53,75.52,0.14,2.94,259.5,3.51,258.7,4.0,258.8,,,,,,,,361.56
1981-02-25,12.63,7.88,10.26,13.21,1.57,13.58,12.01,72.82,0.02,2.4,313.8,2.75,311.0,2.96,307.2,,,,,,,,374.93
1981-02-26,12.58,7.96,10.27,13.36,2.55,14.04,11.49,73.62,0.06,2.93,90.2,3.39,91.4,3.69,93.4,,,,,,,,365.55
1981-02-27,14.43,10.48,12.45,13.96,2.65,15.62,12.97,77.12,0.74,2.13,217.4,2.68,214.7,3.44,211.0,,,,,,,,332.3
1981-02-28,15.61,12.53,14.07,14.43,2.59,17.07,14.48,81.99,0.0,2.37,245.2,3.33,244.4,5.15,244.9,,,,,,,,313.31
