Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,20.6,7.35,13.97,20.49,17.25,28.99,11.74,48.02,0.05,0.26,157.8,2.06,164.9,4.26,168.0,,,,,,,,253.95
1981-01-02,21.62,9.5,15.56,21.61,16.83,30.4,13.57,51.7,0.06,0.15,88.3,1.24,91.0,2.87,94.1,,,,,,,,266.87
1981-01-03,23.76,12.06,17.91,23.84,20.45,34.11,13.66,55.62,0.0,0.19,4.4,2.01,0.1,4.45,359.0,,,,,,,,274.02
1981-01-04,26.29,13.81,20.05,26.37,22.4,37.82,15.42,53.77,0.0,0.19,6.0,1.87,8.1,3.98,6.3,,,,,,,,271.19
1981-01-05,24.24,19.77,22.0,24.28,15.06,32.35,17.29,78.17,54.43,0.21,13.3,2.26,24.0,4.33,19.6,,,,,,,,269.64
1981-01-06,23.96,14.25,19.11,23.93,16.17,32.34,16.17,61.64,0.01,0.25,209.3,2.54,211.3,5.23,211.4,,,,,,,,274.46
1981-01-07,22.18,11.75,16.96,22.27,17.88,31.43,13.55,57.11,0.06,0.16,83.4,1.87,87.1,4.09,91.4,,,,,,,,269.07
1981-01-08,25.32,15.97,20.65,25.41,19.31,35.05,15.74,60.62,0.17,0.19,18.7,1.95,17.4,4.03,17.9,,,,,,,,272.32
1981-01-09,25.78,20.53,23.16,25.84,11.47,31.71,20.24,74.5,3.74,0.15,63.3,1.64,67.2,3.57,60.1,,,,,,,,274.97
1981-01-10,27.43,19.69,23.56,27.53,15.72,35.63,19.91,67.53,0.51,0.16,50.2,1.77,49.8,3.53,48.7,,,,,,,,273.86
1981-01-11,23.53,16.64,20.08,23.49,12.67,30.64,17.97,69.13,0.06,0.23,131.5,2.05,137.6,3.99,121.8,,,,,,,,276.08
1981-01-12,25.88,12.84,19.36,25.44,19.23,35.27,16.04,51.53,0.02,0.2,218.9,1.38,221.7,2.89,252.3,,,,,,,,276.26
1981-01-13,26.43,11.32,18.88,26.05,20.59,36.95,16.36,45.3,0.0,0.33,201.9,1.95,206.7,3.75,205.9,,,,,,,,282.77
