Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,32.53,-0.18,16.17,35.15,19.72,41.6,21.88,13.09,0.0,3.85,85.7,5.26,84.9,7.75,83.3,,,,,,,,276.87
1981-01-02,33.19,3.81,18.5,35.95,17.97,41.64,23.67,16.91,0.0,3.9,72.8,5.27,72.8,7.75,73.1,,,,,,,,270.09
1981-01-03,34.55,6.59,20.57,37.33,17.93,43.16,25.23,19.23,0.0,3.86,94.9,5.23,94.5,7.67,93.6,,,,,,,,274.88
1981-01-04,34.08,7.12,20.6,36.92,18.22,43.04,24.82,20.28,0.0,4.03,131.8,5.4,132.7,7.51,133.2,,,,,,,,276.97
1981-01-05,33.65,3.74,18.69,37.0,17.91,42.1,24.19,15.63,0.0,3.6,125.8,4.81,127.2,6.7,128.8,,,,,,,,270.74
1981-01-06,34.19,6.32,20.25,37.83,18.71,42.68,23.97,19.09,0.11,2.78,111.4,3.74,111.7,5.25,108.1,,,,,,,,275.05
1981-01-07,35.22,8.21,21.72,38.67,15.88,42.82,26.94,20.74,0.09,2.63,84.7,3.48,85.7,4.49,85.6,,,,,,,,276.25
1981-01-08,31.57,10.75,21.16,33.65,15.04,38.61,23.57,32.44,0.2,3.44,6.9,4.6,9.2,5.84,14.5,,,,,,,,276.8
1981-01-09,34.24,8.87,21.56,38.09,15.2,41.24,26.04,22.34,0.64,3.06,46.8,4.09,47.1,5.7,45.4,,,,,,,,270.76
1981-01-10,32.8,10.41,21.61,35.34,13.88,39.48,25.6,27.15,2.12,4.82,122.5,6.39,122.9,8.2,122.3,,,,,,,,272.55
1981-01-11,33.12,10.06,21.59,35.65,14.78,40.25,25.47,25.66,0.0,5.36,117.3,7.12,117.5,9.16,117.5,,,,,,,,283.23
1981-01-12,33.06,7.77,20.42,35.74,14.32,39.89,25.57,22.08,0.0,4.46,99.5,5.94,99.5,8.06,99.3,,,,,,,,283.33
1981-01-13,31.33,9.17,20.25,34.17,11.97,37.38,25.41,27.43,0.0,5.37,68.3,7.13,68.4,9.02,68.3,,,,,,,,277.19
1981-01-14,28.8,15.55,22.17,32.36,12.39,35.51,23.12,47.13,0.05,5.29,67.7,6.92,67.6,8.32,66.6,,,,,,,,265.72
1981-01-15,28.55,13.44,21.0,31.43,13.68,35.42,21.74,43.21,0.0,5.01,93.3,6.59,93.1,8.2,92.8,,,,,,,,267.7
1981-01-16,29.69,9.68,19.68,32.7,15.1,37.09,21.99,30.13,0.0,4.34,104.3,5.78,102.5,7.64,98.9,,,,,,,,261.92
1981-01-17,28.77,12.41,20.59,31.3,16.35,36.88,20.53,39.02,0.0,5.93,124.0,7.88,123.5,9.77,122.7,,,,,,,,258.93
1981-01-18,30.23,11.53,20.88,32.95,18.63,39.24,20.61,38.64,0.0,4.21,126.0,5.61,125.4,7.6,124.4,,,,,,,,261.97
1981-01-19,32.32,5.31,18.82,34.62,15.9,40.07,24.17,20.0,0.0,5.05,122.2,6.79,122.0,9.49,121.8,,,,,,,,262.68
1981-01-20,32.94,6.98,19.96,36.02,17.36,40.67,23.31,20.38,0.0,3.7,116.7,4.95,117.6,6.94,118.9,,,,,,,,261.2
1981-01-21,32.96,10.09,21.53,35.53,14.2,40.36,26.16,26.17,0.01,5.56,151.5,7.4,151.2,9.42,148.1,,,,,,,,258.24
1981-01-22,28.44,5.55,17.0,31.06,15.92,36.24,20.32,24.34,0.08,6.36,143.3,8.42,143.5,10.33,143.1,,,,,,,,268.1
1981-01-23,30.41,7.84,19.12,32.45,13.56,36.82,23.26,25.81,0.01,5.74,81.9,7.63,82.0,9.56,81.7,,,,,,,,267.67
1981-01-24,27.48,15.33,21.4,29.16,8.44,31.94,23.5,49.95,0.27,5.37,43.6,7.11,43.7,8.65,44.4,,,,,,,,261.07
1981-01-25,25.03,18.66,21.85,26.1,4.78,27.47,22.69,68.42,15.06,5.88,51.5,7.86,51.5,9.81,50.9,,,,,,,,248.33
1981-01-26,24.55,22.31,23.43,24.57,5.28,27.27,21.99,87.47,52.66,4.8,32.6,6.53,32.8,8.62,33.4,,,,,,,,244.66
1981-01-27,25.74,22.39,24.07,26.43,6.93,29.79,22.86,82.78,30.3,2.54,19.6,3.37,21.8,4.44,25.3,,,,,,,,253.46
1981-01-28,23.09,21.17,22.13,23.69,5.68,25.68,20.0,89.26,69.57,3.05,153.0,4.06,152.6,5.01,149.9,,,,,,,,252.6
1981-01-29,23.01,20.9,21.96,23.3,6.82,26.71,19.89,88.15,19.57,3.68,102.3,4.97,102.9,6.49,103.5,,,,,,,,250.47
1981-01-30,23.17,21.13,22.15,23.61,3.47,25.25,21.78,88.51,41.99,3.28,97.7,4.38,98.2,5.68,98.8,,,,,,,,248.43
1981-01-31,24.64,20.28,22.46,25.61,9.66,29.79,20.13,78.39,0.57,3.54,107.0,4.69,107.8,5.99,108.2,,,,,,,,250.34
1981-02-01,27.45,20.22,23.84,29.38,13.23,34.44,21.21,68.11,1.38,1.67,133.7,2.3,135.3,3.53,136.5,,,,,,,,253.45
1981-02-02,29.8,19.16,24.48,30.54,14.7,37.65,22.95,56.71,1.41,2.78,110.9,3.92,110.6,6.05,109.6,,,,,,,,256.07
1981-02-03,27.89,19.29,23.59,28.25,10.03,32.97,22.94,60.91,0.63,3.51,132.6,4.84,133.2,7.08,132.9,,,,,,,,251.68
1981-02-04,21.67,16.72,19.19,22.59,5.54,24.84,19.3,73.74,0.41,5.12,169.5,6.85,169.4,8.48,168.1,,,,,,,,252.66
1981-02-05,20.27,9.25,14.76,21.5,13.65,27.58,13.93,52.22,0.0,3.97,155.8,5.45,155.7,7.58,154.7,,,,,,,,256.46
