Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,-8.28,-8.8,-8.54,-8.36,4.69,-6.27,-10.96,100.0,0.18,0.08,300.4,2.62,300.2,4.93,303.0,,,,,,,,323.45
1981-01-02,-5.51,-5.96,-5.73,-5.62,3.64,-4.44,-8.08,99.94,0.38,0.08,285.3,2.6,285.0,5.4,288.5,,,,,,,,316.21
1981-01-03,-13.94,-14.31,-14.13,-14.27,8.9,-8.58,-17.48,100.0,0.53,0.17,14.0,1.5,16.2,3.5,18.5,,,,,,,,322.97
1981-01-04,-18.81,-18.87,-18.84,-20.31,5.26,-16.66,-21.92,99.96,0.4,0.31,332.9,1.33,329.6,2.37,330.9,,,,,,,,336.04
1981-01-05,-20.57,-20.63,-20.6,-20.64,6.11,-16.82,-22.93,99.91,0.42,0.06,294.0,1.62,300.7,3.43,302.3,,,,,,,,322.38
1981-01-06,-16.04,-16.58,-16.31,-16.89,3.67,-13.91,-17.58,98.25,1.41,0.27,335.6,1.79,320.7,3.36,319.8,,,,,,,,334.9
1981-01-07,-17.36,-17.6,-17.48,-17.49,7.55,-14.72,-22.27,99.88,0.23,0.1,309.4,2.81,321.0,5.53,322.3,,,,,,,,316.61
1981-01-08,-7.74,-8.19,-7.96,-7.72,14.63,-0.7,-15.33,99.9,8.83,0.12,215.7,3.44,216.7,5.98,220.5,,,,,,,,283.89
1981-01-09,-3.71,-4.04,-3.88,-3.89,6.71,-0.1,-6.81,99.93,0.66,0.09,261.5,1.93,257.9,4.27,261.7,,,,,,,,317.93
1981-01-10,-5.79,-6.23,-6.01,-5.89,6.94,-2.74,-9.68,99.92,0.08,0.11,295.2,3.2,297.1,6.54,300.0,,,,,,,,343.23
1981-01-11,-7.71,-8.25,-7.98,-7.78,2.8,-6.17,-8.97,99.95,0.25,0.1,234.5,2.73,235.3,4.96,239.2,,,,,,,,274.4
1981-01-12,-4.7,-5.1,-4.9,-4.78,7.8,-1.95,-9.75,99.93,3.7,0.08,239.2,2.33,236.0,4.76,245.0,,,,,,,,340.45
