Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,-0.1,-5.4,-2.75,-0.65,9.31,5.32,-3.99,69.85,0.0,3.66,340.4,5.62,339.9,8.48,338.8,,,,,,,,291.35
1981-01-02,1.92,-5.64,-1.86,0.89,12.44,8.7,-3.74,59.11,0.0,3.59,214.3,5.35,215.9,8.18,218.4,,,,,,,,295.54
1981-01-03,-2.87,-8.99,-5.93,-2.57,6.01,-0.01,-6.02,64.22,0.0,4.4,11.7,6.22,11.2,8.47,10.7,,,,,,,,300.37
1981-01-04,-3.45,-12.67,-8.06,-2.61,6.53,0.45,-6.08,47.59,0.0,2.7,97.5,3.67,97.4,4.68,97.4,,,,,,,,285.09
1981-01-05,-1.83,-8.83,-5.33,-1.92,8.1,2.0,-6.1,58.73,0.0,4.08,173.0,5.77,172.9,7.85,173.4,,,,,,,,262.03
1981-01-06,0.87,-4.17,-1.65,0.52,10.82,7.53,-3.29,70.71,0.0,4.27,321.4,6.19,321.8,9.12,322.4,,,,,,,,281.49
1981-01-07,0.79,-4.56,-1.88,-0.01,11.12,7.77,-3.35,69.3,0.0,2.66,207.8,4.16,212.7,6.33,217.9,,,,,,,,274.43
1981-01-08,-0.15,-5.36,-2.76,-0.41,8.31,5.2,-3.11,69.15,0.0,2.37,4.6,3.78,7.5,5.94,10.7,,,,,,,,288.76
1981-01-09,-1.05,-6.65,-3.85,-0.81,10.56,5.45,-5.11,67.05,0.0,2.61,42.5,3.81,45.2,5.56,49.4,,,,,,,,293.84
1981-01-10,-3.64,-10.74,-7.19,-2.82,10.24,2.0,-8.24,57.85,0.0,2.3,203.3,3.29,214.0,4.75,228.3,,,,,,,,285.27
1981-01-11,-6.01,-12.06,-9.04,-5.93,7.12,-2.35,-9.47,63.0,0.0,3.81,6.9,5.35,7.0,6.81,6.6,,,,,,,,312.01
1981-01-12,-2.3,-8.44,-5.37,-2.83,17.62,7.07,-10.55,64.11,0.0,3.77,221.1,5.63,220.6,8.8,220.4,,,,,,,,357.7
1981-01-13,0.1,-5.5,-2.7,-0.46,6.87,4.19,-2.68,66.6,0.0,2.72,317.1,4.08,317.9,6.82,319.9,,,,,,,,349.19
1981-01-14,0.5,-4.47,-1.98,0.22,10.94,7.39,-3.55,70.8,0.0,3.79,335.8,5.52,336.5,8.44,338.7,,,,,,,,329.16
1981-01-15,0.0,-5.49,-2.75,0.12,7.28,4.33,-2.95,67.16,0.0,2.53,13.3,3.69,12.4,5.6,10.5,,,,,,,,313.01
1981-01-16,-6.03,-13.87,-9.94,-5.3,7.9,-1.95,-9.85,53.18,0.0,4.07,8.2,5.72,7.9,7.33,7.2,,,,,,,,321.94
1981-01-17,-5.38,-12.36,-8.87,-5.42,13.75,2.09,-11.66,59.96,0.0,1.64,270.3,2.74,274.0,4.28,273.3,,,,,,,,300.21
1981-01-18,-0.16,-5.66,-2.91,-0.55,12.77,6.94,-5.83,67.69,0.48,3.44,214.5,5.05,215.1,7.95,216.9,,,,,,,,295.97
1981-01-19,1.13,-0.59,0.27,1.02,7.63,6.45,-1.18,89.02,0.24,3.17,216.1,4.63,216.4,6.36,217.3,,,,,,,,304.29
1981-01-20,1.32,-1.03,0.15,1.28,7.37,5.86,-1.51,84.59,0.43,3.34,358.0,4.8,356.0,6.64,353.7,,,,,,,,327.92
1981-01-21,0.15,-6.08,-2.97,-0.68,11.32,7.04,-4.28,64.35,0.01,3.2,343.5,4.51,343.2,5.79,343.5,,,,,,,,338.53
1981-01-22,3.36,-5.5,-1.07,0.85,14.31,11.79,-2.52,54.76,0.0,1.66,289.8,2.63,288.7,3.96,286.8,,,,,,,,319.43
1981-01-23,4.65,-1.91,1.37,2.55,13.89,12.98,-0.91,63.64,0.0,1.62,263.1,2.88,259.4,4.5,257.2,,,,,,,,333.61
1981-01-24,7.75,-0.7,3.52,6.96,18.31,18.24,-0.07,57.17,0.0,2.19,199.4,3.75,209.4,6.56,207.6,,,,,,,,309.53
1981-01-25,7.36,-0.96,3.2,6.77,13.79,15.42,1.63,59.52,0.0,4.06,297.4,5.97,296.5,9.44,293.5,,,,,,,,320.94
1981-01-26,2.46,-5.24,-1.39,1.77,10.38,8.06,-2.32,58.03,0.0,2.54,329.3,3.76,329.7,5.85,329.7,,,,,,,,370.05
1981-01-27,2.72,-5.71,-1.49,1.3,12.29,9.5,-2.79,56.29,0.0,1.81,304.4,2.69,297.5,4.02,289.8,,,,,,,,360.99
1981-01-28,4.13,-3.7,0.22,3.19,16.17,13.23,-2.94,60.25,0.0,1.84,215.4,2.91,208.4,4.51,201.3,,,,,,,,325.96
1981-01-29,-2.03,-6.2,-4.12,-1.68,5.45,0.77,-4.68,73.85,0.76,6.73,57.7,9.29,57.7,11.48,59.1,,,,,,,,310.0
1981-01-30,-2.11,-6.92,-4.52,-1.4,8.92,4.0,-4.92,71.51,0.05,4.08,77.1,5.67,77.8,7.56,82.0,,,,,,,,325.54
1981-01-31,-1.19,-3.05,-2.12,-0.99,5.47,1.37,-4.1,87.92,4.49,6.07,179.6,8.39,179.8,10.55,181.7,,,,,,,,344.28
1981-02-01,-4.7,-12.14,-8.42,-4.13,8.27,-1.17,-9.44,55.89,0.58,7.59,326.9,10.47,326.9,13.31,327.2,,,,,,,,385.14
1981-02-02,-8.67,-17.21,-12.94,-8.66,9.62,-3.17,-12.79,48.43,0.0,4.39,314.1,6.19,314.5,8.13,315.2,,,,,,,,423.65
1981-02-03,-4.31,-11.65,-7.98,-4.35,14.93,3.96,-10.97,56.53,0.0,2.09,281.3,3.04,288.1,4.55,302.6,,,,,,,,398.49
1981-02-04,-5.0,-13.46,-9.23,-4.41,9.92,-0.51,-10.43,52.7,0.0,2.74,358.4,3.84,358.1,5.41,356.9,,,,,,,,354.22
1981-02-05,-1.76,-7.22,-4.49,-2.15,10.59,4.79,-5.8,66.25,0.03,2.9,221.3,4.31,225.5,6.09,228.6,,,,,,,,347.07
1981-02-06,0.1,-5.05,-2.47,-0.74,11.85,6.79,-5.06,70.98,0.0,3.41,184.0,4.92,183.5,6.96,185.7,,,,,,,,366.65
1981-02-07,0.44,-6.37,-2.97,0.74,10.34,6.5,-3.84,64.27,0.03,3.01,4.0,4.27,4.2,6.3,4.6,,,,,,,,400.31
1981-02-08,-3.9,-14.65,-9.27,-2.7,8.88,0.85,-8.03,41.51,0.23,3.0,316.0,4.19,310.5,5.96,274.5,,,,,,,,402.28
1981-02-09,-4.27,-8.81,-6.54,-3.95,4.38,-1.71,-6.09,72.06,2.89,4.07,58.8,5.65,58.6,7.12,60.1,,,,,,,,362.36
1981-02-10,-11.71,-16.49,-14.1,-11.11,12.18,-6.21,-18.39,67.23,1.16,8.48,351.5,11.71,351.5,14.39,351.9,,,,,,,,408.95
1981-02-11,-12.18,-21.51,-16.84,-11.45,18.27,-2.4,-20.67,43.97,0.0,4.23,258.1,5.9,257.3,7.83,255.4,,,,,,,,392.21
1981-02-12,-4.36,-12.16,-8.26,-4.25,12.75,2.66,-10.09,54.02,0.0,5.05,188.4,7.17,187.9,9.85,187.9,,,,,,,,340.47
1981-02-13,-1.17,-7.15,-4.16,-1.38,15.27,7.0,-8.27,66.57,0.0,3.62,187.1,5.32,186.9,8.3,186.7,,,,,,,,348.01
1981-02-14,2.5,-1.88,0.31,2.37,14.14,11.41,-2.73,76.55,0.0,4.72,180.1,6.67,180.1,9.32,180.5,,,,,,,,308.35
1981-02-15,5.0,0.5,2.75,4.64,14.65,13.38,-1.27,74.76,0.0,5.73,189.1,8.12,189.6,11.46,192.2,,,,,,,,293.98
1981-02-16,5.34,2.92,4.13,5.25,14.42,14.39,-0.03,84.73,0.01,2.4,202.8,3.73,201.7,5.92,200.3,,,,,,,,322.56
1981-02-17,9.38,4.31,6.85,9.28,16.33,18.7,2.37,74.27,0.0,5.0,190.8,7.07,190.7,10.08,191.1,,,,,,,,308.21
1981-02-18,8.64,1.53,5.09,7.04,14.21,17.35,3.14,66.21,0.0,2.76,327.4,4.0,325.6,5.82,310.1,,,,,,,,316.25
1981-02-19,9.9,-1.85,4.03,7.31,18.02,19.66,1.64,45.69,0.0,2.86,305.8,4.3,302.8,6.29,296.4,,,,,,,,304.78
1981-02-20,12.78,1.54,7.16,11.61,22.05,24.76,2.71,48.62,0.0,5.03,174.0,7.44,173.2,11.23,173.6,,,,,,,,295.35
1981-02-21,8.23,2.2,5.21,8.34,9.83,13.49,3.66,67.43,0.17,5.7,337.8,8.0,337.0,10.67,335.2,,,,,,,,321.14
1981-02-22,6.59,-4.07,1.26,6.65,10.1,12.17,2.07,47.94,0.13,6.48,325.6,9.08,325.5,12.37,326.2,,,,,,,,405.82
1981-02-23,7.1,-2.57,2.26,6.82,15.83,16.0,0.17,53.06,0.0,4.15,312.1,6.1,313.4,8.61,314.5,,,,,,,,347.73
1981-02-24,11.91,-1.24,5.34,10.69,21.39,22.7,1.31,44.22,0.0,4.2,184.0,6.14,182.9,8.87,184.3,,,,,,,,305.71
1981-02-25,13.38,4.31,8.84,13.13,16.78,22.67,5.89,56.94,0.0,3.37,191.0,4.95,190.2,7.43,189.4,,,,,,,,290.85
1981-02-26,15.37,10.53,12.95,15.21,13.26,22.64,9.38,75.75,0.02,4.9,172.2,6.98,172.1,10.07,172.5,,,,,,,,293.05
1981-02-27,14.57,7.18,10.88,14.57,8.68,19.4,10.72,65.76,0.0,3.97,237.7,5.75,239.8,8.14,243.7,,,,,,,,294.4
1981-02-28,8.05,-0.75,3.65,8.61,9.95,13.7,3.75,55.62,0.0,3.37,8.8,4.75,9.8,6.84,12.8,,,,,,,,288.99
1981-03-01,4.92,-1.7,1.61,5.78,12.32,11.13,-1.19,64.9,0.34,0.82,57.1,1.36,64.5,2.26,69.7,,,,,,,,299.0
1981-03-02,6.91,0.39,3.65,7.73,11.86,13.88,2.02,67.12,3.09,2.3,44.4,3.4,43.3,5.06,46.0,,,,,,,,325.23
1981-03-03,5.38,2.12,3.75,5.43,7.47,8.44,0.97,79.79,9.37,4.77,146.0,6.7,145.9,8.84,146.3,,,,,,,,304.57
1981-03-04,7.63,5.62,6.62,8.21,10.72,13.0,2.28,87.6,0.91,4.55,66.0,6.31,66.2,7.92,70.4,,,,,,,,333.78
1981-03-05,3.22,-4.33,-0.55,4.05,15.01,11.17,-3.84,62.61,0.0,3.34,357.3,4.71,359.4,5.99,2.0,,,,,,,,317.57
1981-03-06,5.5,-3.39,1.06,6.0,15.22,13.59,-1.63,56.27,0.0,2.48,133.6,3.78,134.1,5.86,133.4,,,,,,,,313.23
1981-03-07,0.97,-5.24,-2.14,1.51,5.79,3.95,-1.84,63.55,0.86,4.8,72.7,6.67,72.6,8.45,72.8,,,,,,,,336.59
1981-03-08,3.31,-6.3,-1.49,4.19,11.84,9.83,-2.01,51.97,0.03,1.54,46.9,2.16,47.5,2.91,49.0,,,,,,,,342.82
1981-03-09,4.54,-2.56,0.99,4.85,17.21,13.92,-3.29,63.99,0.0,2.39,272.2,3.7,275.4,5.48,284.6,,,,,,,,350.6
1981-03-10,5.4,-4.81,0.3,5.42,16.99,13.83,-3.16,52.68,0.0,1.64,319.3,2.54,324.3,3.75,331.6,,,,,,,,343.46
1981-03-11,6.3,-5.58,0.36,5.98,16.24,14.49,-1.75,46.0,0.0,2.42,358.9,3.64,357.6,5.36,355.8,,,,,,,,325.28
1981-03-12,8.91,-0.92,4.0,8.92,18.64,18.36,-0.28,52.13,0.6,2.94,235.1,4.55,234.5,7.09,234.1,,,,,,,,336.29
1981-03-13,10.11,-0.75,4.68,10.6,14.28,17.9,3.62,54.57,0.57,3.06,29.3,4.51,28.5,7.0,26.6,,,,,,,,345.37
1981-03-14,9.31,-2.03,3.64,9.93,18.72,18.19,-0.53,48.99,0.82,2.86,164.2,4.27,160.8,6.91,156.4,,,,,,,,364.76
1981-03-15,11.44,1.05,6.25,11.64,12.66,18.09,5.43,56.8,0.74,4.66,333.7,6.68,332.9,9.71,330.3,,,,,,,,360.62
1981-03-16,9.67,-3.56,3.06,10.53,18.86,18.96,0.1,43.52,0.0,3.04,265.1,4.45,265.0,7.16,268.3,,,,,,,,321.21
1981-03-17,12.12,1.96,7.04,12.47,19.56,22.51,2.95,53.54,2.23,5.82,205.6,8.22,205.7,10.85,207.3,,,,,,,,356.02
1981-03-18,2.5,-10.28,-3.89,3.36,10.73,8.43,-2.3,39.87,1.47,6.5,3.7,9.18,3.5,12.25,3.1,,,,,,,,384.9
1981-03-19,4.42,-8.34,-1.96,4.93,15.93,12.8,-3.13,40.9,0.0,4.05,332.6,5.95,333.2,8.82,333.6,,,,,,,,370.15
1981-03-20,6.64,-3.35,1.65,6.85,14.59,14.17,-0.42,51.06,0.65,4.31,140.7,6.28,138.4,8.69,136.9,,,,,,,,342.44
1981-03-21,12.76,4.68,8.71,13.31,14.64,21.34,6.7,63.44,4.16,6.25,121.0,8.8,120.8,11.23,122.5,,,,,,,,425.51
1981-03-22,6.45,1.51,3.98,6.85,8.46,11.55,3.09,72.05,0.8,4.92,18.5,7.08,18.2,8.99,18.7,,,,,,,,363.27
1981-03-23,8.91,-2.32,3.3,9.52,16.18,17.15,0.97,48.28,0.0,1.16,250.4,2.01,237.5,3.15,223.3,,,,,,,,316.94
1981-03-24,11.87,1.85,6.86,12.42,18.37,20.82,2.45,53.52,4.92,2.83,190.4,4.29,189.6,6.64,188.7,,,,,,,,330.16
1981-03-25,10.36,7.23,8.79,10.85,8.95,15.92,6.97,82.27,15.94,1.33,142.5,2.17,156.5,3.49,168.4,,,,,,,,350.89
1981-03-26,12.19,6.46,9.33,12.43,15.01,20.85,5.84,71.62,0.0,4.05,192.4,5.95,192.8,8.9,193.7,,,,,,,,307.84
1981-03-27,16.37,11.21,13.79,16.73,14.64,24.01,9.37,74.21,1.74,6.27,161.4,8.91,161.3,11.79,162.1,,,,,,,,309.72
1981-03-28,15.61,11.81,13.71,15.53,9.84,19.96,10.12,78.76,10.16,7.76,171.0,11.06,171.1,14.63,173.1,,,,,,,,318.08
1981-03-29,11.91,2.08,7.0,12.28,12.53,18.6,6.07,52.28,0.01,5.42,233.4,7.81,233.8,11.01,236.7,,,,,,,,397.23
1981-03-30,14.98,1.99,8.48,15.12,21.01,25.0,3.99,46.34,0.0,3.75,194.5,5.59,197.0,8.59,202.4,,,,,,,,337.22
1981-03-31,13.86,-1.3,6.28,13.93,13.24,20.22,6.98,41.06,0.0,5.25,268.6,7.64,269.0,11.05,270.1,,,,,,,,370.75
1981-04-01,14.37,-1.16,6.6,14.64,20.55,24.56,4.01,38.9,0.0,2.83,221.8,4.4,223.9,7.1,222.6,,,,,,,,353.31
1981-04-02,18.33,3.05,10.69,18.28,18.72,27.73,9.01,40.12,0.0,6.68,196.3,9.59,196.1,13.05,196.3,,,,,,,,302.56
1981-04-03,19.41,9.65,14.53,18.9,11.63,24.81,13.18,59.03,0.48,8.49,202.9,12.2,203.0,16.26,204.5,,,,,,,,299.15
1981-04-04,9.6,-1.73,3.93,10.57,10.69,15.31,4.62,48.03,0.0,4.78,322.8,6.86,322.5,9.19,322.2,,,,,,,,379.95
1981-04-05,9.43,-3.28,3.07,9.71,13.77,16.99,3.22,43.47,0.0,3.75,319.4,5.59,320.5,7.97,321.1,,,,,,,,390.25
1981-04-06,12.79,-2.48,5.16,12.91,19.66,21.93,2.27,38.89,0.0,5.79,187.2,8.5,186.2,11.71,185.7,,,,,,,,313.21
1981-04-07,18.73,6.68,12.71,19.13,18.72,28.37,9.65,48.42,0.0,7.18,190.1,10.28,189.9,13.56,191.0,,,,,,,,306.2
