Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,24.6,9.93,17.26,24.28,11.96,31.12,19.16,42.47,0.0,1.29,2.6,1.67,359.6,2.07,357.9,,,,,,,,258.4
1981-01-02,23.65,13.85,18.75,24.5,12.17,30.38,18.21,57.45,9.41,2.12,157.4,2.92,158.4,4.13,160.5,,,,,,,,261.5
1981-01-03,22.68,16.98,19.83,23.83,8.86,27.51,18.65,72.19,2.75,2.18,179.5,3.04,180.9,4.21,183.8,,,,,,,,254.48
1981-01-04,24.08,15.74,19.91,25.67,13.31,30.47,17.16,63.25,1.06,1.52,193.5,2.17,199.3,3.15,206.5,,,,,,,,255.59
1981-01-05,25.55,16.49,21.02,26.84,10.49,31.09,20.6,59.94,0.1,1.65,156.1,2.24,177.4,3.07,205.3,,,,,,,,256.29
1981-01-06,26.66,15.32,20.99,27.49,11.49,32.34,20.85,53.06,0.0,1.79,34.8,2.47,26.9,3.51,17.2,,,,,,,,257.16
1981-01-07,25.69,13.84,19.76,26.64,12.1,31.76,19.66,51.19,0.0,2.24,48.6,3.05,47.3,4.23,43.2,,,,,,,,259.35
1981-01-08,25.59,12.28,18.93,26.12,12.13,32.33,20.2,47.79,0.0,2.48,96.6,3.37,96.9,4.56,95.1,,,,,,,,258.54
1981-01-09,24.95,10.48,17.72,25.35,13.79,32.14,18.35,45.01,0.0,2.47,92.7,3.41,94.3,4.62,93.9,,,,,,,,258.93
1981-01-10,25.22,11.41,18.32,25.74,13.39,32.39,19.0,46.35,0.0,3.11,83.5,4.31,83.1,6.12,81.5,,,,,,,,254.18
1981-01-11,25.62,12.58,19.1,26.31,13.73,32.94,19.21,48.99,0.0,3.31,76.1,4.55,76.0,6.84,74.2,,,,,,,,255.29
1981-01-12,26.0,12.92,19.46,26.6,13.72,33.11,19.39,48.66,0.01,2.9,80.8,4.03,80.4,6.02,78.2,,,,,,,,254.51
1981-01-13,25.57,13.22,19.4,26.55,13.65,33.0,19.35,51.48,0.19,2.4,103.4,3.34,105.2,4.95,107.3,,,,,,,,253.53
1981-01-14,26.03,12.87,19.45,26.45,12.84,33.0,20.16,47.82,0.11,2.23,97.8,3.04,98.1,4.05,95.6,,,,,,,,254.67
1981-01-15,25.59,13.28,19.43,26.65,14.16,33.22,19.06,51.81,0.07,2.7,128.8,3.67,128.8,5.18,127.9,,,,,,,,260.22
