Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,-3.34,-5.14,-4.24,-3.04,8.12,0.12,-8.0,89.16,0.09,4.71,310.4,6.38,310.5,8.53,311.4,,,,,,,,348.37
1981-01-02,-9.37,-12.68,-11.02,-9.28,4.18,-7.65,-11.83,78.73,0.09,2.85,304.6,3.96,303.5,5.38,303.7,,,,,,,,314.52
1981-01-03,-11.53,-14.26,-12.89,-10.41,8.98,-7.24,-16.22,81.51,0.34,5.3,345.5,7.18,345.7,9.34,347.0,,,,,,,,336.76
1981-01-04,-15.17,-17.05,-16.11,-14.47,5.66,-12.22,-17.88,87.26,0.25,4.04,332.0,5.46,331.7,6.96,333.7,,,,,,,,340.46
1981-01-05,-12.29,-15.26,-13.77,-12.3,11.74,-7.13,-18.87,79.77,0.34,3.84,206.0,5.25,206.9,7.01,208.6,,,,,,,,285.94
1981-01-06,-5.24,-6.88,-6.06,-4.83,7.47,-1.98,-9.45,90.33,2.12,5.38,255.1,7.23,255.3,9.39,257.0,,,,,,,,314.26
1981-01-07,-12.58,-15.14,-13.86,-11.81,3.87,-10.45,-14.32,82.6,0.01,4.4,324.7,5.9,324.6,7.46,326.0,,,,,,,,333.31
1981-01-08,-10.02,-13.73,-11.88,-9.52,7.22,-6.27,-13.49,74.95,0.03,1.37,192.5,1.78,194.2,2.16,194.2,,,,,,,,323.38
1981-01-09,-9.27,-11.9,-10.58,-8.43,4.94,-6.78,-11.72,83.3,0.13,4.1,308.0,5.58,307.5,7.42,308.5,,,,,,,,342.54
1981-01-10,-12.96,-15.57,-14.26,-11.84,8.44,-9.38,-17.82,82.49,0.31,3.65,315.3,5.07,315.6,6.76,317.0,,,,,,,,335.15
1981-01-11,-13.63,-15.2,-14.41,-12.62,6.48,-10.38,-16.86,90.13,0.01,5.22,323.2,7.14,322.8,9.4,323.9,,,,,,,,395.18
1981-01-12,-10.34,-11.53,-10.94,-9.67,13.19,-4.76,-17.95,91.85,0.04,4.31,239.4,5.91,240.0,7.79,241.2,,,,,,,,383.99
1981-01-13,-5.99,-7.05,-6.52,-5.59,7.2,-2.34,-9.54,94.94,0.04,2.16,284.4,3.13,287.8,4.54,286.4,,,,,,,,378.29
1981-01-14,-3.42,-5.52,-4.47,-4.29,4.02,-1.26,-5.28,87.13,0.34,0.87,3.3,1.27,0.4,1.8,356.9,,,,,,,,353.97
1981-01-15,-6.43,-8.73,-7.58,-6.01,9.61,-2.17,-11.78,86.38,1.14,3.84,289.5,5.25,289.4,7.0,289.8,,,,,,,,344.35
1981-01-16,-8.21,-9.97,-9.09,-7.71,7.75,-4.22,-11.97,90.57,0.18,5.58,315.0,7.53,314.9,9.8,316.3,,,,,,,,351.06
1981-01-17,-8.89,-10.8,-9.85,-8.5,12.38,-3.49,-15.87,88.23,0.15,5.02,273.6,6.9,274.3,9.29,275.8,,,,,,,,355.44
1981-01-18,-4.72,-6.66,-5.69,-4.97,11.32,1.59,-9.73,89.01,0.0,4.16,286.8,5.87,286.4,8.81,286.3,,,,,,,,316.83
1981-01-19,-0.15,-0.92,-0.53,-0.45,9.87,4.25,-5.62,94.78,0.0,3.88,241.8,5.4,242.0,8.02,243.0,,,,,,,,311.55
