Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,-2.33,-4.58,-3.46,-1.67,4.29,0.48,-3.81,85.71,2.24,1.79,142.4,2.58,142.9,3.46,146.3,,,,,,,,368.64
1981-01-02,-1.8,-6.25,-4.02,-1.81,8.31,1.02,-7.29,73.19,0.04,4.64,286.5,6.7,286.6,9.52,286.9,,,,,,,,342.16
1981-01-03,-2.99,-6.71,-4.85,-3.13,10.63,3.05,-7.58,76.3,0.0,3.21,257.6,4.7,257.7,6.68,257.9,,,,,,,,327.31
1981-01-04,-11.08,-16.58,-13.83,-9.82,4.86,-8.36,-13.22,63.02,0.0,5.93,309.7,8.39,309.8,10.81,310.9,,,,,,,,384.39
1981-01-05,-9.27,-12.54,-10.91,-8.62,11.13,-2.44,-13.57,79.82,0.0,4.03,306.8,5.87,306.8,8.31,308.3,,,,,,,,336.48
1981-01-06,-5.36,-8.58,-6.97,-5.39,12.73,0.94,-11.79,80.48,1.14,2.28,191.1,3.34,192.0,4.87,192.6,,,,,,,,293.77
1981-01-07,-2.71,-6.75,-4.73,-2.6,12.14,2.63,-9.51,75.37,1.94,4.97,282.5,7.11,282.1,9.76,280.6,,,,,,,,335.64
1981-01-08,-8.26,-13.39,-10.82,-7.96,7.11,-3.56,-10.67,67.1,0.0,3.24,316.6,4.72,317.7,6.56,318.9,,,,,,,,329.66
1981-01-09,-6.91,-11.33,-9.12,-7.09,9.05,-1.98,-11.03,72.03,0.0,1.45,136.4,2.21,132.2,3.12,130.1,,,,,,,,323.27
1981-01-10,-7.0,-11.64,-9.32,-6.46,6.04,-4.5,-10.54,71.41,0.0,4.29,319.0,6.17,319.1,8.48,319.6,,,,,,,,352.32
1981-01-11,-9.66,-14.09,-11.87,-9.01,5.34,-6.4,-11.74,70.81,0.0,3.44,287.2,4.98,287.5,7.21,290.0,,,,,,,,390.73
1981-01-12,-11.37,-15.61,-13.49,-10.57,6.68,-7.59,-14.27,72.16,0.0,2.87,327.9,4.26,328.6,6.15,329.8,,,,,,,,428.34
1981-01-13,-9.09,-12.84,-10.97,-8.69,9.73,-4.18,-13.91,76.29,0.0,1.73,212.8,2.67,213.1,4.1,210.5,,,,,,,,398.46
1981-01-14,-3.41,-6.85,-5.13,-3.33,8.57,1.7,-6.87,79.32,0.03,1.5,145.8,2.39,144.2,3.93,143.9,,,,,,,,376.04
1981-01-15,-2.66,-3.53,-3.1,-3.14,5.32,0.57,-4.75,94.55,2.25,1.97,40.5,2.9,41.7,4.2,50.1,,,,,,,,342.64
1981-01-16,-1.96,-4.77,-3.36,-2.92,9.34,2.96,-6.38,82.95,0.05,2.18,279.5,3.14,279.6,4.32,280.5,,,,,,,,328.0
1981-01-17,-6.24,-10.87,-8.55,-5.74,4.4,-4.1,-8.5,71.09,0.03,5.78,318.1,8.19,318.0,11.02,318.6,,,,,,,,383.44
1981-01-18,-5.84,-8.65,-7.24,-5.56,11.01,0.11,-10.9,83.72,0.03,3.18,293.7,4.7,293.5,7.24,294.0,,,,,,,,329.11
1981-01-19,-0.85,-3.14,-1.99,-1.39,14.18,7.05,-7.13,84.56,0.0,2.5,274.4,4.05,273.3,7.12,273.3,,,,,,,,313.37
1981-01-20,2.01,-0.18,0.92,1.2,8.2,7.26,-0.94,86.04,0.29,1.93,314.6,3.14,319.3,5.38,318.0,,,,,,,,293.4
1981-01-21,-0.59,-2.3,-1.44,-0.79,4.13,1.23,-2.9,88.75,2.3,2.3,37.7,3.42,36.0,4.97,36.3,,,,,,,,333.73
1981-01-22,0.91,-1.84,-0.46,0.5,10.81,7.45,-3.36,83.75,0.0,2.86,276.3,4.3,277.3,6.93,281.0,,,,,,,,351.12
1981-01-23,0.74,-2.62,-0.94,0.48,7.22,4.92,-2.3,79.4,0.0,2.91,295.6,4.31,295.9,7.01,297.3,,,,,,,,366.84
1981-01-24,-0.27,-3.95,-2.11,-0.45,7.31,4.22,-3.09,78.22,0.0,2.78,306.2,4.22,306.8,6.43,307.2,,,,,,,,348.88
1981-01-25,1.15,-2.2,-0.52,0.73,10.3,7.73,-2.57,80.2,0.0,1.9,178.7,3.0,178.9,4.87,178.7,,,,,,,,313.45
1981-01-26,2.84,1.34,2.09,2.22,10.61,9.47,-1.14,90.45,0.01,3.3,206.9,5.0,207.8,7.98,211.5,,,,,,,,304.32
1981-01-27,4.45,2.0,3.23,3.14,8.76,9.43,0.67,83.81,0.0,1.82,283.2,2.99,284.6,5.09,288.0,,,,,,,,341.86
1981-01-28,2.23,-2.97,-0.37,1.64,9.72,8.03,-1.69,71.82,0.0,1.81,307.7,2.83,306.2,4.47,308.0,,,,,,,,369.86
1981-01-29,-0.72,-7.02,-3.87,-0.75,6.89,3.55,-3.34,65.3,0.0,4.44,302.7,6.39,302.6,9.32,302.6,,,,,,,,397.86
1981-01-30,-3.38,-10.52,-6.95,-2.39,5.03,-0.54,-5.57,57.38,0.0,4.28,336.4,5.9,336.4,7.64,336.6,,,,,,,,351.11
1981-01-31,-4.07,-10.19,-7.13,-3.66,10.84,1.58,-9.26,64.05,0.0,2.6,338.0,3.6,338.1,4.66,339.1,,,,,,,,343.04
1981-02-01,0.42,-3.51,-1.55,0.05,14.42,6.51,-7.91,78.63,8.69,4.6,175.4,6.75,175.5,9.97,176.9,,,,,,,,312.38
1981-02-02,3.96,0.23,2.09,3.37,13.67,10.47,-3.2,78.26,11.84,5.95,250.0,8.5,249.2,11.99,246.2,,,,,,,,337.59
1981-02-03,-6.38,-14.54,-10.46,-5.08,6.02,-3.4,-9.42,51.32,0.02,5.2,293.2,7.17,293.3,9.12,293.2,,,,,,,,407.88
1981-02-04,-6.64,-12.82,-9.73,-5.85,7.72,-1.8,-9.52,62.75,0.03,3.61,274.1,5.1,274.6,7.21,275.8,,,,,,,,406.31
1981-02-05,-7.63,-13.56,-10.6,-6.73,6.75,-3.31,-10.06,63.17,0.0,2.86,296.8,4.11,294.0,6.13,289.1,,,,,,,,400.66
1981-02-06,-2.91,-6.9,-4.91,-3.42,12.34,3.88,-8.46,75.84,0.05,3.34,207.9,4.97,209.6,7.19,210.0,,,,,,,,368.86
1981-02-07,0.27,-2.56,-1.14,-0.23,10.74,6.12,-4.62,83.05,0.86,2.19,154.6,3.4,153.2,5.31,157.0,,,,,,,,376.84
1981-02-08,0.64,-1.19,-0.28,0.39,8.43,3.88,-4.55,88.13,9.28,3.04,268.8,4.4,267.6,6.25,266.0,,,,,,,,399.96
1981-02-09,-3.06,-9.38,-6.22,-2.6,9.35,2.48,-6.87,62.76,0.0,3.57,274.9,5.14,271.7,6.98,269.0,,,,,,,,393.6
1981-02-10,2.28,0.08,1.18,1.66,13.72,9.25,-4.47,86.91,13.73,4.89,149.3,7.15,149.6,10.43,151.7,,,,,,,,340.33
1981-02-11,9.65,7.69,8.67,8.58,22.66,16.85,-5.81,88.12,7.92,8.07,195.8,11.53,195.2,15.81,195.0,,,,,,,,327.99
1981-02-12,-6.26,-14.38,-10.32,-4.62,6.28,-3.2,-9.48,51.44,0.0,5.54,317.2,7.58,317.2,9.43,318.0,,,,,,,,331.71
1981-02-13,-4.45,-9.84,-7.15,-3.03,8.38,-0.02,-8.4,67.48,0.0,1.62,57.5,2.43,59.9,3.69,62.7,,,,,,,,343.55
1981-02-14,-0.13,-6.52,-3.32,-1.11,11.19,5.84,-5.35,63.14,0.01,0.91,151.7,1.29,146.0,1.69,143.2,,,,,,,,348.36
1981-02-15,1.92,-2.83,-0.46,1.18,11.13,8.53,-2.6,72.76,0.01,1.97,118.8,3.07,118.8,4.83,122.2,,,,,,,,313.19
1981-02-16,3.6,1.08,2.34,3.45,13.76,11.9,-1.86,84.8,0.02,2.51,185.0,3.82,185.4,6.2,187.4,,,,,,,,301.92
1981-02-17,6.0,5.92,5.96,5.28,8.41,10.77,2.36,96.19,0.17,2.28,215.2,3.64,215.5,6.34,216.5,,,,,,,,327.49
1981-02-18,9.58,8.55,9.06,8.9,14.74,18.94,4.2,90.54,0.87,1.72,198.1,2.95,198.6,5.23,198.2,,,,,,,,325.62
1981-02-19,9.92,9.87,9.9,9.04,9.89,15.94,6.05,95.23,2.58,2.55,160.8,4.1,160.7,7.01,161.7,,,,,,,,310.99
1981-02-20,9.54,8.66,9.1,8.84,8.17,14.48,6.31,93.49,16.09,2.6,272.8,3.99,270.8,6.23,268.0,,,,,,,,358.0
1981-02-21,9.77,7.72,8.74,9.18,8.45,14.75,6.3,87.87,4.33,4.36,353.4,6.38,353.2,9.16,354.6,,,,,,,,360.27
1981-02-22,10.97,9.53,10.25,10.53,7.35,15.49,8.14,91.21,6.0,4.12,88.3,6.0,87.9,8.42,87.2,,,,,,,,306.85
1981-02-23,9.8,9.5,9.65,9.05,7.58,13.13,5.55,96.61,14.64,4.37,146.1,6.48,148.1,9.4,153.2,,,,,,,,320.22
1981-02-24,5.42,2.15,3.79,5.55,8.64,9.8,1.16,80.95,0.13,2.78,292.6,4.0,292.3,5.73,292.5,,,,,,,,398.58
1981-02-25,3.03,-1.98,0.53,2.8,9.74,8.29,-1.45,72.44,0.0,5.33,301.8,7.68,301.3,10.87,300.1,,,,,,,,377.37
1981-02-26,3.77,-0.55,1.61,3.69,12.6,10.92,-1.68,75.44,0.0,5.91,323.9,8.41,323.9,11.38,325.1,,,,,,,,339.83
1981-02-27,3.48,-1.58,0.95,3.06,13.06,10.63,-2.43,72.8,0.0,3.55,337.4,5.2,338.2,7.02,339.3,,,,,,,,325.39
1981-02-28,6.82,3.81,5.32,5.51,13.03,12.79,-0.24,81.72,0.85,2.45,211.8,3.83,213.7,6.43,222.1,,,,,,,,315.96
1981-03-01,6.6,2.66,4.63,6.24,10.48,11.95,1.47,77.96,0.0,2.78,316.3,4.27,316.7,6.75,316.8,,,,,,,,306.01
1981-03-02,3.4,-0.41,1.5,3.14,10.04,9.13,-0.91,77.3,0.02,3.02,295.5,4.52,296.6,6.65,298.1,,,,,,,,318.88
1981-03-03,-0.07,-6.25,-3.16,0.32,9.23,5.37,-3.86,65.55,0.21,4.13,312.7,5.93,312.8,8.7,313.4,,,,,,,,362.34
1981-03-04,-0.25,-4.09,-2.17,0.08,8.32,3.9,-4.42,77.31,3.45,2.17,151.5,3.17,148.5,4.57,148.0,,,,,,,,331.76
1981-03-05,0.61,-0.25,0.18,0.71,4.79,2.22,-2.57,93.89,12.36,3.71,43.4,5.26,42.4,7.14,39.7,,,,,,,,336.46
1981-03-06,1.16,-3.14,-0.99,1.25,7.6,5.13,-2.47,75.1,0.02,4.66,312.1,6.64,312.1,9.31,312.8,,,,,,,,366.43
1981-03-07,0.26,-4.24,-1.99,0.68,8.57,5.1,-3.47,73.47,0.02,5.45,312.1,7.71,312.0,10.27,312.5,,,,,,,,369.57
1981-03-08,2.29,-1.31,0.49,2.7,10.7,8.0,-2.7,78.86,0.02,3.32,323.7,4.78,323.1,6.92,322.6,,,,,,,,356.12
1981-03-09,2.98,-0.95,1.02,3.33,10.02,8.32,-1.7,77.68,0.05,3.09,314.4,4.48,314.2,6.63,314.6,,,,,,,,354.65
1981-03-10,2.56,-0.95,0.8,2.33,10.69,8.13,-2.56,79.79,0.37,2.53,284.5,3.94,285.5,6.3,287.1,,,,,,,,376.2
1981-03-11,2.11,-1.08,0.52,1.88,11.11,8.88,-2.23,81.08,0.09,2.91,287.8,4.4,287.1,6.69,288.1,,,,,,,,403.24
1981-03-12,2.68,-2.45,0.11,2.87,13.75,10.16,-3.59,72.89,0.0,3.09,268.5,4.62,267.1,7.39,265.9,,,,,,,,377.35
1981-03-13,8.04,2.06,5.05,7.62,15.29,15.95,0.66,68.69,0.06,3.76,268.8,5.58,269.1,8.67,270.5,,,,,,,,356.07
1981-03-14,0.28,-6.54,-3.13,0.57,7.62,4.22,-3.4,62.34,0.18,5.47,312.9,7.84,312.8,10.94,312.9,,,,,,,,384.79
1981-03-15,4.64,-2.13,1.26,4.54,16.37,12.9,-3.47,64.81,0.01,3.64,232.2,5.39,232.2,8.53,233.0,,,,,,,,365.74
1981-03-16,2.65,-1.49,0.58,2.37,8.66,5.36,-3.3,75.17,5.96,5.23,326.3,7.55,325.1,10.55,321.3,,,,,,,,404.77
1981-03-17,1.81,-5.28,-1.74,1.96,15.19,10.15,-5.04,61.91,0.02,5.62,282.5,8.02,282.9,11.06,284.6,,,,,,,,413.24
1981-03-18,-1.97,-6.99,-4.48,-0.75,7.56,2.28,-5.28,70.33,0.11,1.99,314.8,2.73,315.8,3.76,318.6,,,,,,,,383.55
1981-03-19,-0.47,-5.61,-3.04,0.36,6.48,2.94,-3.54,70.18,0.31,2.53,311.1,3.58,311.4,5.15,312.0,,,,,,,,410.28
1981-03-20,0.12,-4.93,-2.4,0.58,8.22,4.49,-3.73,69.99,0.18,3.34,279.7,4.78,279.4,7.09,279.5,,,,,,,,463.03
1981-03-21,1.38,-4.06,-1.34,1.52,8.56,6.49,-2.07,70.28,0.03,3.77,318.0,5.59,318.6,8.11,317.2,,,,,,,,450.36
1981-03-22,3.3,-0.9,1.2,4.07,12.24,9.71,-2.53,76.84,0.0,1.97,76.0,3.02,72.7,4.84,70.2,,,,,,,,415.73
1981-03-23,3.93,-0.3,1.82,4.14,9.16,9.58,0.42,76.46,0.02,3.0,46.8,4.47,46.2,6.21,46.9,,,,,,,,404.97
