Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1978,270.1333733,338.4378133,26.78084126,71193
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1979,272.2299509,344.7071137,27.11421709,73328
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1980,275.2010531,351.5943571,27.37175527,75687
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1981,279.6325687,359.7267419,27.7473517,78022
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1982,279.203178,362.9241535,27.78110173,79199
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1983,283.0300453,371.2316116,28.09895273,81665
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1984,288.8921188,381.0523912,28.63156414,84585
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1985,295.6879979,391.3622478,29.20723253,87759
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1986,297.1937403,395.577303,29.39849766,89576
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1987,306.9429976,412.7808609,30.22085622,94414
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1988,303.9193911,410.9459944,30.01956652,94974
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1989,306.0878837,416.2411569,30.14317712,97190
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1990,314.9160046,429.9698269,31.01577049,101720
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1991,328.2388604,450.4384002,32.27115356,108099
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1992,334.5659331,460.0575746,33.0049083,112107
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1993,325.1903996,446.0060081,32.26583996,110222
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1994,320.0868749,437.7572502,31.86753212,109536
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1995,316.4666361,433.1259719,31.53272467,109754
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1996,317.0803859,435.1076156,31.50490908,111618
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1997,322.0130708,443.4215319,32.08603634,115154
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1998,321.4374882,446.234386,31.84938517,117197
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,1999,324.4914332,450.2264028,32.31265176,119403
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2000,327.4107373,456.2754988,32.3013641,122225
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2001,328.8715758,461.3151874,32.47221877,124639
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2002,328.0181225,463.4826446,32.3681516,125909
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2003,318.0597988,456.4687401,31.43349774,124610
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2004,317.9296862,461.06546,31.36070682,126601
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2005,315.6404383,462.3238523,31.07352298,127892
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2006,317.6311068,469.2061739,31.39200821,131165
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2007,321.0997297,479.4300135,31.64480717,135261
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2008,316.4844194,477.702821,31.16561792,136129
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2009,316.2933696,482.3661032,31.1465326,138811
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2010,309.0457292,477.8866241,30.46571205,138655
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2011,305.6715578,477.444122,30.14105305,139779
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2012,296.0598363,469.6751981,29.23090362,138772
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2013,292.1772455,468.9466753,28.90301742,139698
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2014,291.6568909,473.5011843,28.74159385,142237
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2015,292.8324001,479.8836737,28.94466895,145383
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2016,291.9806743,484.5191229,28.87672843,148123
0,All sites excl. non-melanoma skin cancer,840,USA,0,0,2017,289.858119,486.5881647,28.74932104,149853
11,Lung,840,USA,0,0,1978,40.96680748,50.07660761,5.085399411,10534
11,Lung,840,USA,0,0,1979,41.34367718,51.18802859,5.195032346,10889
11,Lung,840,USA,0,0,1980,42.27332328,52.85041025,5.264901893,11377
11,Lung,840,USA,0,0,1981,43.52795172,54.75064803,5.505025398,11875
11,Lung,840,USA,0,0,1982,44.04764466,56.12564593,5.530807681,12248
11,Lung,840,USA,0,0,1983,44.16458064,56.56321488,5.518487371,12443
11,Lung,840,USA,0,0,1984,45.39018113,58.62309826,5.751103723,13013
11,Lung,840,USA,0,0,1985,44.89279299,58.21000035,5.661261715,13053
11,Lung,840,USA,0,0,1986,45.49088868,59.28625182,5.747325428,13425
11,Lung,840,USA,0,0,1987,46.34323058,61.25651536,5.825465985,14011
11,Lung,840,USA,0,0,1988,46.64707864,61.59387023,5.873509281,14235
11,Lung,840,USA,0,0,1989,45.63315333,61.06783266,5.747256516,14259
11,Lung,840,USA,0,0,1990,46.01908745,61.69297703,5.835905994,14595
11,Lung,840,USA,0,0,1991,46.55702724,62.61610043,5.841503904,15027
11,Lung,840,USA,0,0,1992,46.42433516,63.00466468,5.898001852,15353
11,Lung,840,USA,0,0,1993,44.88956237,61.59076636,5.68493187,15221
11,Lung,840,USA,0,0,1994,44.19806103,61.02208821,5.60564162,15269
11,Lung,840,USA,0,0,1995,43.73697815,60.84458183,5.535295395,15418
11,Lung,840,USA,0,0,1996,43.22140303,60.51152608,5.484900449,15523
11,Lung,840,USA,0,0,1997,43.28467117,60.79073002,5.535828802,15787
11,Lung,840,USA,0,0,1998,43.47752157,61.83474345,5.526087388,16240
11,Lung,840,USA,0,0,1999,42.17518908,60.27754139,5.361614488,15986
11,Lung,840,USA,0,0,2000,41.70133731,59.74791866,5.262171196,16005
11,Lung,840,USA,0,0,2001,41.37850174,60.07805039,5.212145697,16232
11,Lung,840,USA,0,0,2002,40.82920145,60.4950701,5.131502506,16434
11,Lung,840,USA,0,0,2003,40.99343269,61.8674308,5.113019976,16889
11,Lung,840,USA,0,0,2004,38.99387601,59.7595843,4.849041237,16409
11,Lung,840,USA,0,0,2005,39.0413934,61.06743844,4.849489541,16893
11,Lung,840,USA,0,0,2006,38.27684146,60.56950358,4.72129095,16932
11,Lung,840,USA,0,0,2007,37.77536899,60.918991,4.637584139,17187
11,Lung,840,USA,0,0,2008,36.48378384,59.81418055,4.478769989,17045
11,Lung,840,USA,0,0,2009,36.02635583,60.22843507,4.384824105,17332
11,Lung,840,USA,0,0,2010,34.03928562,58.39208961,4.116501728,16942
11,Lung,840,USA,0,0,2011,33.29313241,57.56491167,4.078145439,16853
11,Lung,840,USA,0,0,2012,32.48876542,57.64497142,3.928022817,17032
11,Lung,840,USA,0,0,2013,31.79897899,57.31167653,3.874142557,17073
11,Lung,840,USA,0,0,2014,31.06769613,57.19817874,3.802708132,17182
11,Lung,840,USA,0,0,2015,30.29165703,56.70155208,3.688248548,17178
11,Lung,840,USA,0,0,2016,29.97090917,56.90661937,3.627185318,17397
11,Lung,840,USA,0,0,2017,29.02996576,56.46712568,3.523072325,17390
12,Melanoma of skin,840,USA,0,0,1978,6.869276795,7.824767052,0.6868390828,1646
12,Melanoma of skin,840,USA,0,0,1979,7.358949478,8.414599245,0.7395015959,1790
12,Melanoma of skin,840,USA,0,0,1980,8.157817814,9.267519421,0.8262805734,1995
12,Melanoma of skin,840,USA,0,0,1981,8.538859408,9.709883347,0.8525577786,2106
12,Melanoma of skin,840,USA,0,0,1982,8.437345867,9.847649665,0.8747338852,2149
