Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,TO3
1981-01-01,-20.58,-20.85,-20.72,-20.88,12.34,-14.8,-27.14,98.97,0.25,0.25,10.8,1.44,322.1,2.5,318.5,,,,,,,,356.42
1981-01-02,-14.18,-14.61,-14.4,-14.28,8.79,-9.7,-18.49,99.74,6.45,0.34,311.1,2.21,314.8,3.88,313.5,,,,,,,,368.42
1981-01-03,-30.94,-31.01,-30.98,-31.02,16.41,-20.84,-37.25,99.19,0.37,0.72,281.8,4.51,281.8,7.53,283.5,,,,,,,,414.04
1981-01-04,-34.52,-34.52,-34.52,-34.73,8.47,-30.34,-38.81,99.2,0.18,0.51,286.3,3.32,286.5,5.61,287.2,,,,,,,,439.92
1981-01-05,-22.32,-22.43,-22.37,-22.32,14.44,-17.51,-31.95,99.57,0.15,0.75,301.4,4.52,301.7,7.33,303.6,,,,,,,,388.67
1981-01-06,-17.79,-18.04,-17.91,-17.83,10.79,-12.16,-22.95,99.82,0.98,0.35,239.7,2.08,250.0,3.38,252.4,,,,,,,,339.86
1981-01-07,-7.43,-7.86,-7.64,-7.52,15.02,-1.44,-16.46,99.69,8.61,0.39,223.3,2.5,215.7,4.88,219.1,,,,,,,,356.92
1981-01-08,-18.76,-19.0,-18.88,-18.8,6.51,-14.9,-21.41,99.08,0.4,0.84,282.6,4.62,282.1,7.79,284.1,,,,,,,,401.95
1981-01-09,-21.0,-21.12,-21.06,-21.36,8.51,-17.03,-25.54,99.44,0.08,0.38,251.6,1.67,267.2,2.95,273.1,,,,,,,,339.39
1981-01-10,-17.96,-18.27,-18.12,-18.35,9.06,-13.98,-23.04,99.06,2.64,0.48,334.8,2.34,330.5,3.58,333.4,,,,,,,,365.94
1981-01-11,-22.57,-22.74,-22.65,-22.58,11.46,-16.78,-28.24,99.49,1.22,1.05,279.6,5.39,279.5,8.54,281.7,,,,,,,,420.38
1981-01-12,-27.32,-27.38,-27.35,-28.09,14.49,-20.89,-35.38,99.2,0.05,0.5,306.7,2.25,302.4,4.24,302.8,,,,,,,,419.78
1981-01-13,-21.08,-21.2,-21.14,-21.07,5.56,-18.85,-24.41,99.37,2.86,0.78,331.2,4.0,332.1,6.01,335.0,,,,,,,,399.98
1981-01-14,-20.73,-20.86,-20.8,-20.96,8.94,-15.41,-24.35,99.62,0.43,0.52,291.6,2.62,292.1,4.76,292.3,,,,,,,,399.44
1981-01-15,-19.5,-19.49,-19.5,-20.83,11.96,-11.89,-23.85,99.59,0.18,0.53,326.0,1.97,319.0,3.46,318.3,,,,,,,,386.33
1981-01-16,-18.08,-18.44,-18.26,-18.59,12.92,-12.09,-25.01,98.9,0.03,0.43,356.1,1.62,341.8,2.47,342.4,,,,,,,,345.36
1981-01-17,-15.78,-16.18,-15.98,-15.81,7.73,-12.36,-20.09,99.42,0.07,0.66,348.8,3.14,349.9,5.1,353.2,,,,,,,,392.58
1981-01-18,-17.52,-17.83,-17.68,-17.56,10.45,-12.76,-23.21,99.48,0.01,0.83,310.1,3.93,310.3,6.43,311.1,,,,,,,,385.17
1981-01-19,-9.75,-10.42,-10.09,-9.9,5.17,-7.31,-12.48,98.93,0.02,0.95,300.7,4.49,300.9,8.02,302.0,,,,,,,,374.97
1981-01-20,-16.49,-16.88,-16.68,-16.68,7.92,-11.46,-19.38,98.9,0.0,0.87,316.1,4.14,316.5,7.05,318.0,,,,,,,,400.4
1981-01-21,-19.01,-19.25,-19.13,-20.36,10.07,-12.53,-22.6,98.82,0.0,0.66,298.1,2.51,303.3,4.28,304.6,,,,,,,,401.19
1981-01-22,-13.46,-13.94,-13.7,-13.88,10.14,-10.08,-20.22,99.54,4.17,0.4,198.0,1.6,190.5,2.85,200.3,,,,,,,,415.67
1981-01-23,-10.47,-11.03,-10.75,-10.57,8.72,-6.32,-15.04,99.66,0.38,0.6,327.9,2.87,328.6,4.92,330.3,,,,,,,,414.68
1981-01-24,-11.59,-12.14,-11.87,-11.79,9.07,-6.53,-15.6,99.59,0.05,0.43,319.0,2.09,320.1,4.29,320.2,,,,,,,,403.69
1981-01-25,-13.19,-13.69,-13.44,-13.43,9.7,-8.87,-18.57,99.37,0.01,0.49,279.0,2.21,281.4,4.02,277.1,,,,,,,,372.35
1981-01-26,-5.11,-5.52,-5.32,-5.12,9.02,-1.14,-10.16,99.68,0.08,0.58,196.8,2.56,197.4,4.46,200.5,,,,,,,,325.17
1981-01-27,-2.81,-3.23,-3.02,-2.95,10.45,0.09,-10.36,98.77,0.05,0.72,261.7,2.99,260.3,5.94,262.1,,,,,,,,365.46
1981-01-28,-15.78,-16.16,-15.97,-16.09,11.08,-10.33,-21.41,99.25,0.0,0.52,298.6,2.54,299.0,5.66,299.9,,,,,,,,396.35
1981-01-29,-17.88,-18.19,-18.04,-18.01,11.14,-12.43,-23.57,99.1,0.01,0.64,320.2,2.79,320.9,4.97,321.9,,,,,,,,417.13
1981-01-30,-17.44,-17.77,-17.6,-17.54,4.33,-15.19,-19.52,98.99,0.01,1.05,310.7,4.35,310.9,7.15,312.2,,,,,,,,404.75
1981-01-31,-16.87,-17.22,-17.05,-17.04,8.87,-12.19,-21.06,99.07,0.08,0.95,306.8,3.99,306.7,6.7,307.1,,,,,,,,369.91
1981-02-01,-9.36,-9.94,-9.65,-9.6,14.33,-1.82,-16.15,98.6,1.38,0.91,199.5,3.61,202.1,6.17,210.8,,,,,,,,336.12
1981-02-02,0.99,0.63,0.81,0.78,9.14,6.05,-3.09,97.99,28.05,1.78,189.1,6.63,188.7,11.59,191.2,,,,,,,,338.38
1981-02-03,-10.69,-14.97,-12.83,-10.79,13.44,-4.22,-17.66,70.88,0.96,1.16,270.4,4.48,271.0,7.56,270.5,,,,,,,,408.35
1981-02-04,-15.76,-18.33,-17.05,-16.1,8.61,-12.24,-20.85,81.31,0.11,0.49,251.0,1.9,250.9,3.35,249.3,,,,,,,,420.89
1981-02-05,-14.71,-17.35,-16.03,-15.1,7.83,-11.66,-19.49,81.88,0.23,0.57,296.1,2.1,295.8,3.67,293.4,,,,,,,,421.66
1981-02-06,-13.18,-14.62,-13.9,-13.4,10.58,-9.34,-19.92,90.69,0.19,0.6,199.5,2.31,199.9,3.92,203.7,,,,,,,,427.58
1981-02-07,-8.28,-10.17,-9.23,-8.72,10.31,-2.72,-13.03,87.43,0.06,0.54,251.5,1.98,251.8,3.86,247.8,,,,,,,,433.29
1981-02-08,-5.08,-5.28,-5.18,-5.24,7.93,-1.47,-9.4,99.68,7.37,0.59,103.0,2.32,105.4,4.29,103.9,,,,,,,,401.63
1981-02-09,-6.36,-7.8,-7.08,-6.5,8.2,-3.12,-11.32,92.09,5.69,1.24,278.4,4.5,277.8,7.83,278.7,,,,,,,,429.15
1981-02-10,-8.37,-9.65,-9.01,-8.64,12.13,-3.24,-15.37,93.35,0.29,0.77,196.2,2.91,198.8,5.14,204.2,,,,,,,,384.88
1981-02-11,2.54,2.39,2.46,2.34,15.65,10.08,-5.57,99.52,17.47,2.1,165.8,7.19,165.7,12.09,169.0,,,,,,,,324.94
1981-02-12,-10.16,-14.63,-12.4,-10.08,25.66,8.51,-17.15,68.79,5.08,1.98,281.4,6.61,281.4,10.55,281.2,,,,,,,,352.74
1981-02-13,-13.76,-16.68,-15.22,-14.26,12.28,-7.38,-19.66,80.57,0.0,0.47,249.2,1.73,247.3,3.3,246.1,,,,,,,,383.22
1981-02-14,-10.28,-11.67,-10.98,-10.54,10.58,-5.24,-15.82,90.26,0.46,0.69,275.6,2.55,273.3,4.75,274.7,,,,,,,,380.73
1981-02-15,-10.93,-14.02,-12.48,-11.11,10.47,-5.28,-15.75,81.58,0.02,0.6,216.8,2.16,220.1,3.96,232.5,,,,,,,,321.45
1981-02-16,-2.02,-3.5,-2.76,-2.09,16.98,6.91,-10.07,91.58,0.1,0.82,212.6,2.88,212.1,5.0,214.4,,,,,,,,303.93
1981-02-17,2.25,1.64,1.94,2.04,6.89,6.21,-0.68,93.35,0.69,0.91,257.3,3.21,256.4,6.42,257.3,,,,,,,,362.79
1981-02-18,3.09,2.78,2.94,2.55,8.28,8.08,-0.2,93.99,0.01,0.72,276.9,2.4,277.2,4.8,276.3,,,,,,,,339.21
1981-02-19,3.43,3.05,3.24,3.35,6.24,7.03,0.79,96.61,0.52,0.62,170.6,2.05,170.1,3.49,174.0,,,,,,,,340.12
1981-02-20,3.89,3.67,3.78,3.85,3.17,5.22,2.05,98.28,4.38,0.89,137.0,2.95,135.6,5.06,138.9,,,,,,,,341.1
1981-02-21,5.51,5.29,5.4,5.39,3.88,7.8,3.92,98.41,4.46,0.97,127.7,3.36,127.2,5.83,128.6,,,,,,,,349.06
1981-02-22,3.2,2.23,2.72,3.11,12.56,10.04,-2.52,91.77,0.22,0.56,172.4,1.89,172.6,3.43,174.3,,,,,,,,352.19
1981-02-23,0.38,-2.19,-0.91,0.44,12.14,7.39,-4.75,85.26,0.01,0.73,168.9,2.38,168.7,4.53,167.7,,,,,,,,302.9
1981-02-24,0.38,-1.75,-0.69,0.58,7.53,4.43,-3.1,87.15,0.13,1.07,110.6,3.31,109.7,5.46,111.3,,,,,,,,314.45
1981-02-25,0.54,-1.71,-0.59,0.79,7.2,5.18,-2.02,86.29,0.82,1.45,63.5,4.54,62.7,7.15,64.3,,,,,,,,354.21
1981-02-26,-0.25,-1.41,-0.83,0.01,3.68,1.59,-2.09,92.21,3.39,1.43,4.3,4.52,4.2,6.87,6.8,,,,,,,,359.5
1981-02-27,-0.39,-2.48,-1.44,-0.21,6.42,2.74,-3.68,86.63,2.43,1.56,340.7,4.91,340.9,7.92,342.5,,,,,,,,380.12
1981-02-28,-0.63,-3.87,-2.25,-0.45,11.58,6.17,-5.41,82.19,2.2,0.82,231.7,2.59,224.2,4.47,208.0,,,,,,,,356.72
1981-03-01,-0.61,-2.52,-1.57,-0.48,6.37,2.68,-3.69,88.12,2.61,1.1,282.9,3.41,283.6,5.79,285.3,,,,,,,,391.89
