lat,lon,uv_mean
19.56,1.82,2.0709809523809524
19.56,2.82,2.0831166666666667
19.56,3.82,2.0659738095238094
19.56,4.82,2.0956464285714285
19.56,5.82,2.100695238095238
19.56,6.82,2.1072214285714286
20.56,0.82,1.9922595238095238
20.56,1.82,2.018302380952381
20.56,2.82,2.0358428571428573
20.56,3.82,2.0432047619047617
20.56,4.82,2.053495238095238
20.56,5.82,2.0635559523809524
20.56,6.82,2.055770238095238
20.56,7.82,2.0784630952380954
21.56,-0.18,1.9438309523809525
21.56,0.82,1.961413095238095
21.56,1.82,1.990632142857143
21.56,2.82,1.9950130952380953
21.56,3.82,2.036017857142857
21.56,4.82,2.0582749999999996
21.56,5.82,2.0526238095238094
21.56,6.82,2.043332142857143
21.56,7.82,2.0850892857142855
21.56,8.82,2.1302309523809524
21.56,9.82,2.141802380952381
22.56,-2.18,1.858747619047619
22.56,-1.18,1.8933718299797595
22.56,-0.18,1.9158738095238095
22.56,0.82,1.9208857142857143
22.56,1.82,1.9206452380952381
22.56,2.82,1.917979761904762
22.56,3.82,1.9708714285714286
22.56,4.82,1.9875714285714283
22.56,5.82,2.053047619047619
22.56,6.82,2.039792857142857
22.56,7.82,2.044342857142857
22.56,8.82,2.064895238095238
22.56,9.82,2.084567857142857
22.56,10.82,2.0969464285714285
23.56,-3.18,1.804784523809524
23.56,-2.18,1.8322931301345398
23.56,-1.18,1.8578904761904762
23.56,-0.18,1.880159523809524
23.56,0.82,1.8729857142857143
23.56,1.82,1.8925333333333334
23.56,2.82,1.887054761904762
23.56,3.82,1.9444690476190478
23.56,4.82,1.9684309523809524
23.56,5.82,2.0514535714285715
23.56,6.82,2.065472619047619
23.56,7.82,2.059784523809524
23.56,8.82,2.0241952380952384
23.56,9.82,2.055357142857143
23.56,10.82,2.037303571428571
23.56,11.82,2.063757142857143
24.56,-5.18,1.7540738095238095
24.56,-4.18,1.7658857142857143
24.56,-3.18,1.7747369047619048
24.56,-2.18,1.7812977735444697
24.56,-1.18,1.7952970591737112
24.56,-0.18,1.827813095238095
24.56,0.82,1.7932833333333333
24.56,1.82,1.820765567329444
24.56,2.82,1.8268880952380953
24.56,3.82,1.8938404761904761
24.56,4.82,1.925472619047619
24.56,5.82,1.9558142857142857
24.56,6.82,1.989008333333333
24.56,7.82,2.0010464285714287
24.56,8.82,1.9987023809523807
24.56,9.82,1.9902452380952382
24.56,10.82,2.0084964285714286
24.56,11.82,2.591234523809524
25.56,-6.18,1.7289369047619048
