year,month,mean_concentration,max_concentration,sample_count,below_detection_pct
1998,6,0.000466,0.00103,10,0.0
1998,7,0.0003775,0.00058,8,0.0
1998,8,0.000134,0.00031,5,0.0
2004,7,3.4e-05,0.000359,11,45.45454545454545
2004,8,1.2692307692307691e-05,0.00017,26,76.92307692307693
2005,2,0.005412222222222222,0.0127,9,0.0
2005,8,0.00105,0.0011,6,100.0
2006,1,0.0043,0.0043,1,0.0
2006,8,0.001,0.001,6,100.0
2008,1,0.5,0.5,11,100.0
2008,2,0.1432027272727273,0.5,11,27.27272727272727
2008,6,0.5,0.5,8,100.0
2008,8,0.025395652173913045,0.5,23,4.3478260869565215
2008,9,0.5,0.5,3,100.0
2008,10,0.002215,0.014,20,0.0
2009,1,0.6680191666666667,1.0,12,66.66666666666666
2009,2,0.9234138461538461,1.0,26,92.3076923076923
2009,5,0.009254285714285715,0.088,14,0.0
2009,6,0.6669058333333333,1.0,12,66.66666666666666
2009,7,0.0024575,0.00439,8,0.0
2009,8,0.010022727272727273,0.05289,11,0.0
2009,9,0.0014215384615384615,0.0076,26,0.0
2009,11,0.43072499999999997,1.0,40,42.5
2010,1,0.5027858333333334,1.0,12,50.0
2010,2,1.0,1.0,19,100.0
2010,3,1.0,1.0,4,100.0
2010,5,0.0118,0.1631,22,0.0
2010,6,1.0,1.0,6,100.0
2010,7,0.2738063636363636,1.0,11,27.27272727272727
2010,8,0.21493214285714288,1.0,14,21.428571428571427
2010,9,0.4658125,1.0,20,45.0
2010,11,0.5543095238095238,1.0,42,54.761904761904766
2010,12,1.0,1.0,5,100.0
2011,2,0.0035916666666666666,0.0057,6,0.0
2011,5,0.007870909090909092,0.0887,22,0.0
2011,8,0.0023160714285714286,0.0155,28,0.0
2011,9,0.00204375,0.0058,16,0.0
2012,2,0.005425,0.00705,4,0.0
2012,3,1.70015,2.0,20,100.0
2012,4,0.001,0.001,5,100.0
2012,5,1.2662814814814813,2.0,27,62.96296296296296
2012,6,0.0011433333333333332,0.0025,12,66.66666666666666
2012,7,1.6194019047619048,2.0,21,80.95238095238095
2012,8,0.0031999999999999997,0.005,9,33.33333333333333
2012,9,0.0077035714285714285,0.1649,28,21.428571428571427
2012,11,2.0,2.0,17,100.0
2013,2,0.0046375,0.00631,4,0.0
2013,3,2.0,2.0,17,100.0
2013,4,0.005,0.005,1,0.0
2013,5,1.4192041666666666,2.0,24,70.83333333333334
2013,6,0.015246153846153845,0.1753,13,0.0
2013,7,0.01169764705882353,0.0926,17,0.0
2013,8,1.2662292592592592,2.0,27,62.96296296296296
2013,9,0.001715,0.0058,20,0.0
2013,11,2.0,2.0,17,100.0
2014,1,0.001,0.001,17,100.0
2014,2,0.0036033333333333334,0.00567,6,33.33333333333333
2014,3,2.0,2.0,17,100.0
2014,5,0.004241818181818182,0.0322,11,0.0
2014,6,0.0010184615384615384,0.0015,13,23.076923076923077
2014,7,1.0974041935483871,2.0,31,87.09677419354838
2014,8,1.1727862068965518,2.0,29,58.620689655172406
2014,9,0.004363636363636364,0.0188,11,0.0
2014,10,2.0,2.0,17,100.0
2015,1,0.001,0.001,18,100.0
2015,2,0.0050100000000000006,0.00979,4,0.0
2015,3,2.0,2.0,17,100.0
2015,5,0.0016923076923076922,0.0042,13,0.0
2015,6,1.3158807692307692,2.0,26,84.61538461538461
2015,7,0.001,0.001,3,100.0
2015,8,1.2146785714285715,2.0,28,100.0
2015,10,2.0,2.0,17,100.0
2015,11,0.001,0.001,9,100.0
2016,1,0.002416,0.0036,5,0.0
2016,2,0.0010841176470588237,0.00207,17,88.23529411764706
2016,3,1.0,1.0,17,100.0
2016,5,0.4368230769230769,1.0,39,43.58974358974359
2016,6,0.08085,0.1391,2,0.0
2016,8,0.00855806451612903,0.2343,31,32.25806451612903
2016,9,0.5502225806451613,1.0,31,54.83870967741935
2016,10,1.0,1.0,17,100.0
2017,1,0.024896551724137933,0.1,29,68.96551724137932
2017,2,0.03783473684210527,0.1,19,10.526315789473683
2017,3,0.07800000000000001,0.1,9,0.0
2017,4,0.07800000000000001,0.1,9,0.0
2017,5,0.059225,0.1,12,0.0
2017,6,0.026106896551724136,0.1,29,0.0
2017,7,0.03747368421052632,0.1,19,52.63157894736842
2017,8,0.018470588235294117,0.1,17,64.70588235294117
2017,9,0.025074193548387098,0.1,31,9.67741935483871
2017,10,0.07800000000000001,0.1,9,0.0
2017,11,0.064,0.1,11,0.0
2017,12,0.07800000000000001,0.1,9,0.0
2018,1,0.0006060000000000001,0.00234,15,80.0
2018,2,0.002345,0.00436,6,0.0
2018,5,0.0009526315789473685,0.0037,19,94.73684210526315
2018,6,0.09490000000000001,0.1,17,0.0
2018,7,0.05872413793103449,0.1,29,41.37931034482759
2018,8,0.0007923076923076923,0.0053,13,76.92307692307693
2018,9,0.0006,0.0014,15,6.666666666666667
2018,11,0.0608125,0.1,28,39.285714285714285
2019,1,0.0007236363636363637,0.00214,11,27.27272727272727
2019,2,0.000794,0.00317,15,60.0
2019,3,0.1,0.1,16,0.0
2019,4,0.0154,0.1597,15,0.0
2019,5,0.06412962962962963,0.1,27,0.0
2019,6,0.008,0.008,1,0.0
2019,7,0.06305555555555556,0.1,27,18.51851851851852
2019,8,0.003916666666666666,0.008,12,0.0
2019,9,0.00946,0.1033,20,0.0
2019,10,0.08180952380952382,0.1,21,0.0
2020,1,0.0006613333333333333,0.0029,15,80.0
2020,2,0.07444826086956521,0.1,23,0.0
2020,6,0.00025,0.00025,9,100.0
2020,7,0.001315,0.0051,10,10.0
2020,8,0.031400000000000004,0.1,56,5.357142857142857
2020,10,0.1,0.1,17,0.0
2021,1,0.0024,0.00386,7,0.0
2021,2,0.0896421052631579,0.1,19,0.0
2021,4,0.003947619047619048,0.0147,21,0.0
2021,6,0.1,0.1,17,0.0
2021,7,0.0008764705882352941,0.0038,17,0.0
2021,8,0.004541666666666667,0.0279,12,0.0
2021,9,0.08957894736842106,0.1,19,0.0
2022,2,0.002490833333333333,0.00445,12,0.0
2022,3,0.1,0.1,16,0.0
2022,4,0.057078378378378376,0.1712,37,0.0
2022,5,0.006,0.006,4,0.0
2022,8,0.059896551724137936,0.1,29,0.0
2022,10,0.006,0.006,2,0.0
2022,11,0.006,0.006,2,0.0
2023,2,0.002331111111111111,0.00745,18,0.0
2023,5,0.028389655172413795,0.1,29,0.0
2023,6,0.1,0.1,7,0.0
2023,7,0.04176470588235295,0.1,17,0.0
2023,8,0.1,0.1,7,0.0
2023,9,0.1,0.1,7,0.0
2023,10,0.1,0.1,7,0.0
2023,12,0.1,0.1,7,0.0
2024,7,0.001,0.001,8,0.0
