year,mean_concentration,max_concentration,sample_count,below_detection_pct
1998,0.00036304347826086956,0.00103,23,0.0
2004,1.9027027027027025e-05,0.000359,37,67.56756756756756
2005,0.003667333333333333,0.0127,15,40.0
2006,0.0014714285714285714,0.0043,7,85.71428571428571
2008,0.17373197368421053,0.5,76,34.21052631578947
2009,0.38626369127516774,1.0,149,38.25503355704698
2010,0.5091045161290322,1.0,155,50.32258064516129
2011,0.004059166666666667,0.0887,72,0.0
2012,0.9544402797202797,2.0,143,65.03496503496503
2013,0.9764571428571429,2.0,140,48.57142857142857
2014,0.8959003289473685,2.0,152,65.78947368421053
2015,1.0095995555555555,2.0,135,84.44444444444444
2016,0.43113528301886794,1.0,159,58.490566037735846
2017,0.04051211822660099,0.1,203,22.660098522167488
2018,0.035771901408450706,0.1,142,45.07042253521127
2019,0.04392163636363637,0.1597,165,10.303030303030303
2020,0.039969461538461544,0.1,130,19.230769230769234
2021,0.047091964285714286,0.1,112,0.0
2022,0.05418421568627451,0.1712,102,0.0
2023,0.051265252525252526,0.1,99,0.0
2024,0.001,0.001,8,0.0
