year,month,total_fish,ulcer_positive_samples,total_samples,mean_ulcer_value,ulcer_rate
1981,1,4809.0,17,822,0.021897810218978103,2.068126520681265
1981,5,7401.0,73,712,0.11095505617977527,10.252808988764045
1981,10,6618.0,45,610,0.08688524590163935,7.377049180327869
1982,1,9025.0,64,1157,0.06222990492653414,5.531547104580812
1982,6,7956.0,115,1297,0.1164225134926754,8.866615265998458
1982,12,10.0,1,9,0.1111111111111111,11.11111111111111
1983,1,2324.0,19,587,0.034071550255536626,3.2367972742759794
1983,5,7308.0,70,1411,0.058114812189936214,4.961020552799433
1983,12,131.0,7,106,0.07547169811320754,6.60377358490566
1984,1,1802.0,25,580,0.04655172413793104,4.310344827586207
1984,3,348.0,2,6,0.3333333333333333,33.33333333333333
1984,5,13054.0,88,2243,0.045474810521622826,3.923316986179224
1984,12,4172.0,41,1071,0.04201680672268908,3.828197945845005
1985,1,3555.0,16,975,0.01641025641025641,1.641025641025641
1985,5,9480.0,66,1779,0.03934794828555368,3.709949409780776
1985,12,241.0,17,170,0.1,10.0
1986,1,12407.0,50,12407,0.004029983074071089,0.40299830740710885
1986,3,459.0,1,6,0.16666666666666666,16.666666666666664
1986,5,14769.0,63,9454,0.006769621324307171,0.6663845991114872
1986,6,5502.0,18,5502,0.003271537622682661,0.3271537622682661
1986,12,10430.0,81,10430,0.007766059443911793,0.7766059443911794
1987,1,12166.0,28,12166,0.0023014959723820483,0.23014959723820483
1987,3,700.0,0,5,0.0,0.0
1987,5,4888.0,29,849,0.03769140164899882,3.415783274440518
1987,6,10555.0,48,10555,0.0045476077688299385,0.4547607768829938
1987,12,1946.0,99,1946,0.050873586844809866,5.087358684480987
1988,1,7677.0,45,7677,0.005861664712778429,0.5861664712778429
1988,3,357.0,2,6,0.3333333333333333,33.33333333333333
1988,5,7063.0,43,2764,0.015918958031837915,1.5557163531114326
1988,6,4302.0,24,4302,0.005578800557880056,0.5578800557880056
1988,12,3857.0,75,3857,0.01944516463572725,1.944516463572725
1989,1,2605.0,14,2605,0.005374280230326296,0.5374280230326296
1989,4,525.0,2,5,1.0,40.0
1989,5,7190.0,63,2276,0.0320738137082601,2.7680140597539546
1989,6,1132.0,11,1132,0.009717314487632508,0.9717314487632509
1990,1,4866.0,16,4866,0.0032881216605014385,0.32881216605014385
1990,4,838.0,18,70,0.34285714285714286,25.71428571428571
1990,5,7736.0,59,3258,0.019643953345610803,1.8109269490484958
1990,12,3012.0,28,3012,0.009296148738379814,0.9296148738379815
1991,1,6374.0,31,6374,0.004863508001255099,0.4863508001255099
1991,2,393.0,1,136,0.007352941176470588,0.7352941176470588
1991,4,255.0,1,29,0.034482758620689655,3.4482758620689653
1991,5,6287.0,30,936,0.03418803418803419,3.205128205128205
1991,6,1697.0,19,1697,0.011196228638774307,1.1196228638774306
1991,10,250.0,5,31,0.16129032258064516,16.129032258064516
1991,12,6371.0,51,6371,0.008005022759378434,0.8005022759378434
1992,1,6369.0,34,6369,0.0053383576699638875,0.5338357669963888
1992,3,579.0,3,103,0.02912621359223301,2.912621359223301
1992,4,6254.0,40,677,0.0723781388478582,5.908419497784342
1992,5,2375.0,7,267,0.026217228464419477,2.6217228464419478
1992,6,2100.0,23,2100,0.010952380952380953,1.0952380952380953
1992,7,1331.0,9,1331,0.0067618332081141996,0.67618332081142
1992,10,85.0,3,27,0.1111111111111111,11.11111111111111
1993,1,2434.0,15,2434,0.006162695152013147,0.6162695152013147
1993,3,445.0,0,85,0.0,0.0
1993,5,4911.0,33,458,0.10043668122270742,7.20524017467249
1993,6,1068.0,28,1068,0.026217228464419477,2.6217228464419478
1993,7,581.0,13,581,0.022375215146299483,2.2375215146299485
1993,10,224.0,2,32,0.09375,6.25
1993,12,13074.0,170,13074,0.013002906532048341,1.3002906532048342
1994,1,2177.0,27,2177,0.01240238860817639,1.240238860817639
1994,2,210.0,3,50,0.06,6.0
1994,3,720.0,5,111,0.06306306306306306,4.504504504504505
1994,6,888.0,22,888,0.024774774774774775,2.4774774774774775
1994,7,714.0,25,714,0.0350140056022409,3.5014005602240896
1994,10,371.0,2,34,0.058823529411764705,5.88235294117647
1994,11,4221.0,130,4221,0.030798389007344232,3.079838900734423
1994,12,2586.0,95,2586,0.036736272235112145,3.6736272235112146
1995,1,3118.0,29,3118,0.009300833867864015,0.9300833867864015
1995,2,1391.0,21,221,0.1085972850678733,9.502262443438914
1995,6,1537.0,29,1537,0.018867924528301886,1.8867924528301887
1995,7,606.0,9,606,0.01485148514851485,1.4851485148514851
1995,10,193.0,0,29,0.0,0.0
1995,12,7002.0,232,7002,0.03313339045986861,3.3133390459868606
1996,1,1852.0,8,1799,0.0044469149527515284,0.44469149527515284
1996,2,3302.0,17,312,0.057692307692307696,5.448717948717949
1996,5,1929.0,13,1929,0.00673924313115604,0.673924313115604
