year,total_fish,ulcer_positive_samples,total_samples,mean_ulcer_value,ulcer_rate
1981,18828.0,135,2144,0.06996268656716417,6.296641791044776
1982,16991.0,180,2463,0.09094600081201787,7.3081607795371495
1983,9763.0,96,2104,0.05228136882129278,4.562737642585551
1984,19376.0,156,3900,0.04512820512820513,4.0
1985,13276.0,99,2924,0.03522571819425445,3.3857729138166897
1986,43567.0,213,37799,0.005661525437180878,0.563506971083891
1987,30255.0,204,25521,0.008110967438579994,0.7993417185846949
1988,23256.0,189,18606,0.010211759647425562,1.0158013544018059
1989,11452.0,90,6018,0.017115320704553006,1.4955134596211366
1990,16452.0,121,11206,0.0117794038907728,1.0797786899875068
1991,21627.0,138,15574,0.008989341209708488,0.8860922049569796
1992,19093.0,119,10874,0.011771197351480595,1.0943535037704617
1993,22737.0,261,17732,0.015508684863523574,1.4719151815926008
1994,11887.0,309,10781,0.028847045728596605,2.8661534180502737
1995,13847.0,320,12513,0.025813154319507713,2.5573403660193397
1996,14239.0,239,11026,0.02176673317612915,2.1676038454561946
1997,9341.0,190,9007,0.02109470411901854,2.109470411901854
1998,15458.0,829,11454,0.08101973109830626,7.237646237122402
1999,10369.0,472,8635,0.05477707006369427,5.466126230457441
2000,6668.0,472,6668,0.07078584283143372,7.078584283143371
2001,5393.0,166,5089,0.03261937512281391,3.261937512281391
2002,16471.0,639,16223,0.04203908031806694,3.9388522468100846
2003,16466.0,476,15710,0.03042647994907702,3.0299172501591345
2004,21357.0,750,21357,0.041859811771316195,3.51172917544599
2005,17988.0,1000,17520,0.0714041095890411,5.707762557077626
2006,15843.0,886,15843,0.06741147509941299,5.592375181468157
2007,17009.0,688,17009,0.05508848256805221,4.04491739667235
2008,12738.0,348,12738,0.03462081959491286,2.7319830428638716
2009,19897.0,435,19897,0.029602452631049908,2.186259235060562
2010,11729.0,426,11729,0.051666808764600565,3.632023190382812
2011,10250.0,448,10015,0.06590114827758363,4.473290064902646
2012,7908.0,382,7908,0.07397572078907436,4.83055134041477
2013,15355.0,526,15101,0.05728097476988279,3.48321303224952
2015,264.0,0,6,0.0,0.0
2023,60.0,3,60,0.05,5.0
