year,uv_mean,ozone_mean,ulcer_rate,ulcer_samples,ddepp_concentration,contaminant_samples
1981,,341.0365205479452,6.296641791044776,2144.0,,
1982,,345.55405479452054,7.308160779537149,2463.0,,
1983,,319.2366575342466,4.562737642585551,2104.0,,
1984,,335.0910655737705,4.0,3900.0,,
1985,,340.11950684931503,3.3857729138166897,2924.0,,
1986,,334.6481917808219,0.563506971083891,37799.0,,
1987,,342.4517260273973,0.7993417185846949,25521.0,,
1988,,336.67803278688524,1.015801354401806,18606.0,,
1989,,332.92687671232875,1.4955134596211366,6018.0,,
1990,,327.9203561643835,1.0797786899875068,11206.0,,
1991,,336.53591780821915,0.8860922049569796,15574.0,,
1992,,313.5868306010929,1.0943535037704617,10874.0,,
1993,,308.7554794520548,1.4719151815926008,17732.0,,
1994,,335.3911780821918,2.8661534180502737,10781.0,,
1995,,320.817397260274,2.55734036601934,12513.0,,
1996,,309.6143989071038,2.1676038454561946,11026.0,,
1997,,318.0776164383562,2.109470411901854,9007.0,,
1998,,336.81063013698633,7.237646237122402,11454.0,0.0003630434782608,23.0
1999,,337.8834794520548,5.466126230457441,8635.0,,
2000,,322.52306010928964,7.078584283143371,6668.0,,
2001,0.42682191780821915,338.56860273972603,3.261937512281391,5089.0,,
2002,0.46183561643835613,324.6274794520548,3.9388522468100846,16223.0,,
2003,0.4312328767123288,326.1421917808219,3.0299172501591345,15710.0,,
2004,0.42215846994535516,332.67431693989073,3.51172917544599,21357.0,1.9027027027027025e-05,37.0
2005,0.43627397260273976,315.77660273972606,5.707762557077626,17520.0,0.0036673333333333,15.0
2006,0.4386575342465754,330.42868493150684,5.592375181468157,15843.0,0.0014714285714285,7.0
2007,0.4456164383561644,321.1245479452055,4.04491739667235,17009.0,,
2008,0.43885245901639347,321.52081967213115,2.731983042863872,12738.0,0.1737319736842105,76.0
2009,0.4406849315068493,331.2538356164383,2.186259235060562,19897.0,0.3862636912751677,149.0
2010,0.41663013698630136,338.49479452054794,3.632023190382812,11729.0,0.5091045161290322,155.0
2011,0.44194520547945204,317.5104931506849,4.473290064902646,10015.0,0.0040591666666666,72.0
2012,0.4059016393442623,320.69535519125685,4.83055134041477,7908.0,0.9544402797202796,143.0
2013,0.4329315068493151,334.3151780821918,3.48321303224952,15101.0,0.9764571428571428,140.0
2014,0.4438630136986301,323.4426301369863,,,0.8959003289473685,152.0
2015,0.4018904109589041,341.6604383561644,0.0,6.0,1.0095995555555557,135.0
2016,0.431775956284153,320.7663934426229,,,0.4311352830188679,159.0
2017,0.4172328767123287,322.9858904109589,,,0.0405121182266009,203.0
2018,0.4877808219178082,333.1784109589041,,,0.0357719014084507,142.0
2019,0.4217260273972603,330.96290410958903,,,0.0439216363636363,165.0
2020,0.46560109289617485,320.4727868852459,,,0.0399694615384615,130.0
2021,0.4479178082191781,329.0467397260274,,,0.0470919642857142,112.0
2022,0.452027397260274,329.1341917808219,,,0.0541842156862745,102.0
2023,0.4555890410958904,326.2070958904109,5.0,60.0,0.0512652525252525,99.0
2024,0.41877049180327874,341.98032786885244,,,0.001,8.0
2025,0.5398349834983498,318.7501639344262,,,,
