Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TO3,ALLSKY_KT
1981-01-01,,,,,,323.45,
1981-01-02,,,,,,316.21,
1981-01-03,,,,,,322.97,
1981-01-04,,,,,,336.04,
1981-01-05,,,,,,322.38,
1981-01-06,,,,,,334.9,
1981-01-07,,,,,,316.61,
1981-01-08,,,,,,283.89,
1981-01-09,,,,,,317.93,
1981-01-10,,,,,,343.23,
1981-01-11,,,,,,274.4,
1981-01-12,,,,,,340.45,
1981-01-13,,,,,,335.86,
1981-01-14,,,,,,317.65,
1981-01-15,,,,,,359.86,
1981-01-16,,,,,,375.95,
1981-01-17,,,,,,357.96,
1981-01-18,,,,,,373.69,
1981-01-19,,,,,,369.29,
1981-01-20,,,,,,395.41,
1981-01-21,,,,,,321.61,
1981-01-22,,,,,,322.09,
1981-01-23,,,,,,305.96,
1981-01-24,,,,,,312.1,
1981-01-25,,,,,,363.21,
1981-01-26,,,,,,314.17,
1981-01-27,,,,,,259.75,
1981-01-28,,,,,,257.82,
1981-01-29,,,,,,269.76,
1981-01-30,,,,,,294.87,
1981-01-31,,,,,,287.4,
1981-02-01,,,,,,273.68,
1981-02-02,,,,,,269.91,
1981-02-03,,,,,,326.05,
1981-02-04,,,,,,342.47,
1981-02-05,,,,,,355.27,
1981-02-06,,,,,,299.96,
1981-02-07,,,,,,353.12,
1981-02-08,,,,,,365.14,
1981-02-09,,,,,,390.3,
1981-02-10,,,,,,440.94,
1981-02-11,,,,,,494.74,
1981-02-12,,,,,,446.98,
1981-02-13,,,,,,413.63,
1981-02-14,,,,,,445.53,
1981-02-15,,,,,,406.58,
1981-02-16,,,,,,399.69,
1981-02-17,,,,,,419.43,
1981-02-18,,,,,,404.19,
1981-02-19,,,,,,389.62,
1981-02-20,,,,,,402.76,
1981-02-21,,,,,,417.81,
1981-02-22,,,,,,376.71,
1981-02-23,,,,,,399.9,
1981-02-24,,,,,,416.12,
1981-02-25,,,,,,364.58,
1981-02-26,,,,,,335.31,
1981-02-27,,,,,,352.18,
1981-02-28,,,,,,337.94,
1981-03-01,,,,,,328.53,
1981-03-02,,,,,,352.96,
1981-03-03,,,,,,355.64,
1981-03-04,,,,,,381.95,
1981-03-05,,,,,,407.9,
1981-03-06,,,,,,414.88,
1981-03-07,,,,,,393.15,
1981-03-08,,,,,,375.01,
1981-03-09,,,,,,418.27,
1981-03-10,,,,,,436.25,
1981-03-11,,,,,,388.53,
1981-03-12,,,,,,376.07,
1981-03-13,,,,,,395.21,
1981-03-14,,,,,,425.86,
1981-03-15,,,,,,403.23,
1981-03-16,,,,,,412.65,
1981-03-17,,,,,,446.11,
1981-03-18,,,,,,459.87,
1981-03-19,,,,,,460.3,
1981-03-20,,,,,,442.77,
1981-03-21,,,,,,439.4,
1981-03-22,,,,,,424.81,
1981-03-23,,,,,,460.04,
1981-03-24,,,,,,422.04,
1981-03-25,,,,,,390.31,
1981-03-26,,,,,,385.9,
1981-03-27,,,,,,399.76,
1981-03-28,,,,,,392.49,
1981-03-29,,,,,,350.37,
1981-03-30,,,,,,368.96,
1981-03-31,,,,,,382.31,
1981-04-01,,,,,,372.89,
1981-04-02,,,,,,356.72,
1981-04-03,,,,,,398.17,
1981-04-04,,,,,,383.56,
1981-04-05,,,,,,362.99,
1981-04-06,,,,,,339.27,
1981-04-07,,,,,,331.58,
1981-04-08,,,,,,349.99,
1981-04-09,,,,,,381.57,
1981-04-10,,,,,,304.3,
1981-04-11,,,,,,312.44,
1981-04-12,,,,,,340.51,
1981-04-13,,,,,,406.63,
1981-04-14,,,,,,357.1,
1981-04-15,,,,,,399.48,
1981-04-16,,,,,,405.12,
1981-04-17,,,,,,366.49,
1981-04-18,,,,,,395.86,
1981-04-19,,,,,,388.1,
1981-04-20,,,,,,400.72,
1981-04-21,,,,,,462.6,
1981-04-22,,,,,,484.02,
1981-04-23,,,,,,473.86,
1981-04-24,,,,,,469.31,
1981-04-25,,,,,,461.0,
1981-04-26,,,,,,458.19,
1981-04-27,,,,,,450.24,
1981-04-28,,,,,,446.62,
1981-04-29,,,,,,415.58,
1981-04-30,,,,,,419.97,
1981-05-01,,,,,,431.61,
1981-05-02,,,,,,432.73,
1981-05-03,,,,,,436.96,
1981-05-04,,,,,,438.9,
1981-05-05,,,,,,412.29,
1981-05-06,,,,,,400.77,
1981-05-07,,,,,,382.09,
1981-05-08,,,,,,359.14,
1981-05-09,,,,,,359.46,
1981-05-10,,,,,,381.78,
1981-05-11,,,,,,380.01,
1981-05-12,,,,,,360.46,
1981-05-13,,,,,,338.83,
1981-05-14,,,,,,342.32,
1981-05-15,,,,,,338.4,
1981-05-16,,,,,,356.74,
1981-05-17,,,,,,359.29,
1981-05-18,,,,,,364.38,
1981-05-19,,,,,,349.02,
1981-05-20,,,,,,344.06,
1981-05-21,,,,,,345.21,
1981-05-22,,,,,,346.67,
1981-05-23,,,,,,344.72,
1981-05-24,,,,,,349.16,
1981-05-25,,,,,,358.12,
1981-05-26,,,,,,366.6,
1981-05-27,,,,,,364.51,
1981-05-28,,,,,,368.14,
1981-05-29,,,,,,371.73,
1981-05-30,,,,,,371.4,
1981-05-31,,,,,,350.33,
1981-06-01,,,,,,341.25,
1981-06-02,,,,,,349.5,
1981-06-03,,,,,,336.4,
1981-06-04,,,,,,337.23,
1981-06-05,,,,,,352.18,
1981-06-06,,,,,,360.85,
1981-06-07,,,,,,363.57,
1981-06-08,,,,,,363.57,
1981-06-09,,,,,,367.26,
1981-06-10,,,,,,378.75,
1981-06-11,,,,,,393.66,
1981-06-12,,,,,,387.6,
1981-06-13,,,,,,375.46,
1981-06-14,,,,,,349.52,
1981-06-15,,,,,,359.91,
1981-06-16,,,,,,364.62,
1981-06-17,,,,,,371.15,
1981-06-18,,,,,,382.14,
1981-06-19,,,,,,391.27,
1981-06-20,,,,,,375.54,
1981-06-21,,,,,,376.01,
1981-06-22,,,,,,347.29,
1981-06-23,,,,,,339.82,
1981-06-24,,,,,,310.76,
1981-06-25,,,,,,302.41,
1981-06-26,,,,,,292.99,
1981-06-27,,,,,,317.76,
1981-06-28,,,,,,339.19,
1981-06-29,,,,,,336.89,
1981-06-30,,,,,,333.06,
1981-07-01,,,,,,336.46,
1981-07-02,,,,,,340.59,
1981-07-03,,,,,,329.02,
1981-07-04,,,,,,326.98,
1981-07-05,,,,,,335.77,
1981-07-06,,,,,,320.31,
1981-07-07,,,,,,325.62,
1981-07-08,,,,,,313.27,
1981-07-09,,,,,,313.22,
1981-07-10,,,,,,314.85,
1981-07-11,,,,,,312.6,
1981-07-12,,,,,,319.5,
1981-07-13,,,,,,338.33,
1981-07-14,,,,,,344.05,
1981-07-15,,,,,,344.48,
1981-07-16,,,,,,342.29,
1981-07-17,,,,,,344.97,
1981-07-18,,,,,,350.07,
1981-07-19,,,,,,355.6,
1981-07-20,,,,,,352.22,
1981-07-21,,,,,,344.06,
1981-07-22,,,,,,340.15,
1981-07-23,,,,,,347.49,
1981-07-24,,,,,,340.12,
1981-07-25,,,,,,324.57,
1981-07-26,,,,,,318.94,
1981-07-27,,,,,,315.37,
1981-07-28,,,,,,309.97,
1981-07-29,,,,,,306.4,
1981-07-30,,,,,,317.84,
1981-07-31,,,,,,327.3,
1981-08-01,,,,,,336.59,
1981-08-02,,,,,,347.63,
1981-08-03,,,,,,335.29,
1981-08-04,,,,,,308.89,
1981-08-05,,,,,,296.69,
1981-08-06,,,,,,307.82,
1981-08-07,,,,,,312.37,
1981-08-08,,,,,,310.71,
1981-08-09,,,,,,292.47,
1981-08-10,,,,,,304.02,
1981-08-11,,,,,,311.95,
1981-08-12,,,,,,302.56,
1981-08-13,,,,,,298.07,
1981-08-14,,,,,,307.88,
1981-08-15,,,,,,322.05,
1981-08-16,,,,,,329.45,
1981-08-17,,,,,,333.14,
1981-08-18,,,,,,319.56,
1981-08-19,,,,,,332.68,
1981-08-20,,,,,,333.85,
1981-08-21,,,,,,338.42,
1981-08-22,,,,,,341.72,
1981-08-23,,,,,,332.03,
1981-08-24,,,,,,311.5,
1981-08-25,,,,,,308.18,
1981-08-26,,,,,,340.44,
